Cluster	group	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
down	down	GO:0005507	copper ion binding	14/657	237/29066	0.00107770463566671	0.0107910425207667	0.00855975930720931	AT3G61440/AT1G67090/AT5G17710/AT3G63190/AT5G20720/AT3G09260/AT2G37660/AT1G49240/AT4G23670/AT1G19570/AT3G08580/AT5G63400/AT1G02930/AT1G57720	14
down	down	GO:0009737	response to abscisic acid	18/657	418/29066	0.00734791668367752	0.0496951207290822	0.0394195714978452	AT4G28080/AT2G46820/AT4G38970/AT1G06190/AT5G54270/AT2G37220/AT3G23700/AT5G66400/AT3G48360/AT5G37770/AT3G62030/AT2G18960/AT1G17840/AT4G35100/AT5G51110/AT1G43670/AT5G66880/AT2G26110	18
down	down	GO:0015979	photosynthesis	33/657	112/29066	1.05281653115686e-27	2.02930386380485e-25	1.60970106474247e-25	AT1G29920/AT5G13630/AT3G56940/AT4G18480/AT5G47110/AT1G67090/AT3G21055/AT3G47470/AT2G34430/AT4G27440/AT1G44575/AT2G40300/AT1G55480/AT1G67740/AT4G27600/AT1G76450/AT5G54190/AT5G54270/AT3G22840/AT4G28660/AT4G17600/AT1G11750/AT1G03630/AT1G08520/AT3G54890/AT5G45930/AT4G10340/AT3G27690/AT1G20020/AT5G38410/AT4G01037/AT1G43670/AT2G20260	33
down	down	GO:0015995	chlorophyll biosynthetic process	19/657	41/29066	6.38269803327697e-21	9.84212036731309e-19	7.80704748912405e-19	AT5G13630/AT3G56940/AT4G18480/AT1G58290/AT4G27440/AT4G25080/AT5G18660/AT3G14110/AT2G40490/AT5G54190/AT3G14930/AT5G08280/AT3G03710/AT1G03630/AT3G21200/AT1G08520/AT5G45930/AT2G40400/AT1G44446	19
down	down	GO:0009735	response to cytokinin	32/657	203/29066	5.4783625162667e-18	6.03402500005947e-16	4.78635883000143e-16	AT5G20630/AT3G25920/AT3G27850/AT1G32060/AT4G18480/AT1G05190/AT2G07698/AT4G01310/AT1G78630/AT5G30510/AT3G14420/AT2G40300/AT1G16880/AT3G22640/AT2G40490/AT5G14910/AT5G40950/AT2G21660/AT3G09260/AT3G63140/AT4G25050/AT3G18780/AT5G45930/AT4G02530/AT4G32260/AT1G20020/AT1G18540/AT3G62030/AT5G58070/AT1G49600/AT2G20260/AT1G73060	32
down	down	GO:0019843	rRNA binding	21/657	74/29066	9.88270803979711e-18	9.52445987335446e-16	7.55507022516068e-16	AT2G33800/AT5G14320/AT2G43030/AT1G74970/AT1G05190/AT1G29070/AT1G75350/AT4G01310/AT4G17560/AT5G54600/AT5G13510/AT1G12800/AT1G06190/AT5G47190/AT3G63490/AT3G06430/AT3G63140/AT5G07090/AT1G35680/AT1G79850/AT3G54210	21
down	down	GO:0009409	response to cold	37/657	329/29066	1.19728632324747e-15	9.23107755223801e-14	7.32235109270296e-14	AT4G24770/AT1G55490/AT1G42970/AT5G20630/AT2G33800/AT1G32060/AT3G11170/AT1G67090/AT3G47470/AT1G20620/AT2G40300/AT5G06290/AT1G16880/AT5G20720/AT3G11630/AT5G61410/AT2G21660/AT2G37220/AT1G67280/AT3G22840/AT3G23700/AT2G39730/AT4G24280/AT5G62700/AT1G56190/AT3G48360/AT3G54890/AT3G27690/AT1G35680/AT5G37770/AT3G14210/AT5G58070/AT3G16450/AT1G78080/AT4G21150/AT5G52440/AT3G49910	37
down	down	GO:0005840	ribosome	33/657	300/29066	8.0347546698342e-14	5.16232987536847e-12	4.09490566945059e-12	AT2G33800/AT5G14320/AT2G43030/AT1G05190/AT2G33450/AT2G38140/AT1G29070/AT1G75350/AT4G17560/AT1G78630/AT4G34620/AT5G30510/AT1G74050/AT3G13120/AT1G68590/AT5G40950/AT5G54600/AT5G13510/AT1G12800/AT2G36620/AT3G27160/AT5G47190/AT3G63490/AT5G24490/AT2G24090/AT5G15260/AT1G18540/AT1G35680/AT5G46420/AT5G23900/AT3G54210/AT1G64510/AT1G27400	33
down	down	GO:0019253	reductive pentose-phosphate cycle	10/657	18/29066	1.20954704706969e-12	7.17354440992872e-11	5.69025776799589e-11	AT1G42970/AT1G32060/AT2G21170/AT1G67090/AT5G38430/AT5G38420/AT3G60750/AT1G12900/AT1G56190/AT5G38410	10
down	down	GO:0003729	mRNA binding	34/657	391/29066	2.63884221211814e-11	1.37686507271569e-09	1.09216821250299e-09	AT4G24770/AT5G26742/AT3G45780/AT1G78630/AT1G20620/AT5G30510/AT5G16130/AT1G12800/AT2G21660/AT2G37220/AT3G23700/AT1G02150/AT5G50250/AT3G52380/AT1G49240/AT3G19515/AT1G60000/AT1G78260/AT2G34040/AT2G18940/AT3G63140/AT5G07090/AT4G35785/AT2G37340/AT5G63650/AT3G62250/AT2G21530/AT4G35100/AT3G52660/AT1G49600/AT1G27090/AT1G14410/AT1G10200/AT3G49910	34
down	down	GO:0046686	response to cadmium ion	28/657	340/29066	5.06615083627538e-09	1.69826186729057e-07	1.34710921550389e-07	AT1G42970/AT2G21330/AT2G33800/AT5G64940/AT5G49910/AT1G20620/AT5G52920/AT3G60750/AT5G20720/AT4G38970/AT4G33010/AT1G11860/AT2G21660/AT3G14930/AT4G24280/AT1G30580/AT1G56190/AT4G23670/AT1G04510/AT1G59900/AT3G19170/AT5G09650/AT1G78870/AT5G63400/AT1G07440/AT2G41530/AT1G02930/AT1G57720	28
up	up	GO:0046686	response to cadmium ion	27/595	340/29066	2.55800198416525e-09	1.28415185999085e-06	1.07597133253951e-06	AT1G56340/AT3G55440/AT2G30860/AT4G02930/AT1G72650/AT5G67300/AT4G09320/AT5G64250/AT1G70730/AT3G09440/AT1G27450/AT5G14780/AT4G37260/AT1G09780/AT3G48990/AT5G13420/AT3G56070/AT2G44350/AT4G37910/AT1G07920/AT1G13930/AT3G56240/AT2G17630/AT5G59780/AT2G33590/AT4G11600/AT3G12580	27
up	up	GO:0055085	transmembrane transport	26/595	325/29066	4.32907617902854e-09	1.28415185999085e-06	1.07597133253951e-06	AT3G61430/AT2G37170/AT1G12110/AT2G37180/AT1G68570/AT4G16370/AT3G16340/AT3G53510/AT1G28010/AT2G36380/AT2G47000/AT5G62680/AT2G29650/AT3G47960/AT1G30400/AT5G13490/AT4G23400/AT4G32400/AT4G25960/AT4G18910/AT5G17850/AT1G61800/AT5G61520/AT1G05030/AT4G18050/AT3G47420	26
up	up	GO:0005507	copper ion binding	22/595	237/29066	4.54299007072236e-09	1.28415185999085e-06	1.07597133253951e-06	AT4G27520/AT3G55440/AT2G30860/AT3G29250/AT2G01520/AT1G56070/AT5G61030/AT5G44790/AT3G20570/AT5G07475/AT3G09220/AT4G12290/AT4G05390/AT2G32300/AT4G13850/AT5G15350/AT5G13490/AT5G37600/AT1G74230/AT1G07610/AT4G26780/AT4G38580	22
up	up	GO:0009737	response to abscisic acid	29/595	418/29066	1.39630101975987e-08	2.96015816189092e-06	2.48027154825766e-06	AT2G37170/AT4G30160/AT2G05520/AT5G25610/AT5G67300/AT1G31880/AT1G58340/AT3G46620/AT4G37260/AT2G47770/AT5G14920/AT5G26340/AT3G14050/AT5G59550/AT1G29395/AT3G11410/AT3G08040/AT4G23600/AT5G13530/AT4G34240/AT2G33590/AT5G59320/AT3G22850/AT1G12420/AT5G15970/AT1G08930/AT2G39800/AT5G13680/AT3G22380	29
up	up	GO:0009611	response to wounding	19/595	204/29066	4.84454027271432e-08	8.21634030252348e-06	6.88434670333087e-06	AT5G42650/AT1G72520/AT3G44260/AT3G13790/AT5G14780/AT2G24850/AT3G53260/AT3G45140/AT3G14050/AT2G38870/AT5G12140/AT5G59820/AT4G23600/AT5G09810/AT3G44550/AT2G28900/AT3G21240/AT5G50200/AT5G63450	19
up	up	GO:0009414	response to water deprivation	22/595	298/29066	2.71710233435703e-07	3.8401712992246e-05	3.2176211854228e-05	AT3G61430/AT2G37170/AT5G67300/AT1G12110/AT2G37180/AT3G46620/AT5G26340/AT4G39950/AT3G45140/AT5G59550/AT3G22310/AT4G13850/AT3G11410/AT4G23400/AT4G34240/AT2G33590/AT5G59320/AT4G36020/AT5G15970/AT1G08930/AT2G39800/AT3G22380	22
up	up	GO:0055072	iron ion homeostasis	7/595	35/29066	5.94378425816537e-06	0.000720047007274891	0.000603316447257387	AT3G56980/AT3G56970/AT5G67330/AT1G58340/AT4G16370/AT3G08040/AT2G23150	7
up	up	GO:0015250	water channel activity	7/595	37/29066	8.78317339623749e-06	0.000931016380001175	0.000780084479271093	AT3G61430/AT2G37170/AT1G31880/AT2G37180/AT5G47450/AT4G23400/AT4G18910	7
up	up	GO:0070417	cellular response to cold	5/595	30/29066	0.000329708069363271	0.0139796221410027	0.0117133129905373	AT4G12470/AT1G66270/AT1G29395/AT1G66280/AT5G12140	5
up	up	GO:0003729	mRNA binding	20/595	391/29066	0.000188023407874311	0.0106295899918277	0.00890637195194105	AT2G37170/AT3G23450/AT1G56070/AT5G54900/AT2G23930/AT5G61030/AT4G31580/AT1G07930/AT1G51510/AT4G13850/AT4G04885/AT2G24050/AT1G74230/AT5G66860/AT3G58510/AT5G03280/AT3G53020/AT5G63120/AT4G36020/AT1G29250	20
