sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G52690	ABA-Col0	Mock-Col0	NA	NA	1711.24011830739	6.88647875037388	0.168372650335211	40.9002218392577	0	0
AT5G06760	ABA-Col0	Mock-Col0	NA	NA	1330.68967139715	5.77433153994826	0.14902465394208	38.7474916881372	0	0
AT2G42540	ABA-Col0	Mock-Col0	NA	NA	1349.79660491781	5.71752513885871	0.152786306739146	37.4217118070687	1.7332979669968e-306	1.11878606109753e-302
AT5G52310	ABA-Col0	Mock-Col0	NA	NA	6185.11415003786	3.15692296482126	0.0890919927352608	35.434418603725	5.04107750705493e-275	2.44038562116529e-271
AT3G50970	ABA-Col0	Mock-Col0	NA	NA	1537.94435151706	2.8135040508993	0.0903915052450924	31.1257572630372	1.07982667053026e-212	4.18195272962959e-209
AT3G15670	ABA-Col0	Mock-Col0	NA	NA	673.014757110604	5.69554300068371	0.187832649321947	30.3224334067796	5.80338343043988e-202	1.8729452791173e-198
AT2G46680	ABA-Col0	Mock-Col0	NA	NA	769.232930788689	3.80281605587242	0.125986949863224	30.1842060626191	3.81776825721029e-200	1.05610377903743e-196
AT5G66400	ABA-Col0	Mock-Col0	NA	NA	813.39809876878	6.71254091820722	0.224134789847387	29.9486791978067	4.57763306042514e-197	1.10801608227591e-193
AT3G02480	ABA-Col0	Mock-Col0	NA	NA	915.738938985935	4.42481890956084	0.148747321250423	29.7472174447529	1.88397016316465e-194	4.05346647105782e-191
AT5G09530	ABA-Col0	Mock-Col0	NA	NA	2103.53782361012	3.30363676947401	0.11154703767492	29.6165352154106	9.15301054234014e-193	1.77238896141875e-189
AT5G59320	ABA-Col0	Mock-Col0	NA	NA	720.066489004395	4.37901889055363	0.148064336908434	29.5751089154015	3.12345485367059e-192	5.49841634422521e-189
AT2G39800	ABA-Col0	Mock-Col0	NA	NA	1153.24808928889	2.97078676892976	0.100691405216554	29.5038763491341	2.56750453197098e-191	4.14309647975718e-188
AT3G17520	ABA-Col0	Mock-Col0	NA	NA	607.462758929806	5.77931771520577	0.19593850712644	29.4955687882033	3.28145244173953e-191	4.88784962168032e-188
AT5G15970	ABA-Col0	Mock-Col0	NA	NA	4702.05818144484	2.53381989133383	0.0967282739981693	26.1952352357883	3.01124488834751e-151	4.1649818584258e-148
AT4G19230	ABA-Col0	Mock-Col0	NA	NA	655.852183186912	3.00528245749614	0.123147558236106	24.4039143003893	1.5541419167315e-131	2.00629360503925e-128
AT4G23600	ABA-Col0	Mock-Col0	NA	NA	358.292466707798	4.33100995461934	0.181448979034052	23.869023555137	6.42668281758539e-126	7.77789287998272e-123
AT2G47770	ABA-Col0	Mock-Col0	NA	NA	408.486605528799	5.36240699174506	0.229329415172821	23.3829881251997	6.36687430456389e-121	7.25224435491619e-118
AT3G53040	ABA-Col0	Mock-Col0	NA	NA	349.125685140644	5.39476114623569	0.234488669948319	23.0064895989417	4.01374977587212e-117	4.31790281444376e-114
AT5G25610	ABA-Col0	Mock-Col0	NA	NA	2015.54296292627	2.03733492535968	0.0889798426350075	22.8965894412375	5.02431429664295e-116	5.12056958106285e-113
AT5G13580	ABA-Col0	Mock-Col0	NA	NA	604.563965648993	3.58530569381492	0.156670692605697	22.8843418905302	6.6537070632516e-116	6.4421191786402e-113
AT2G37870	ABA-Col0	Mock-Col0	NA	NA	313.837282106003	4.90502914173589	0.215085713336799	22.8049974386499	4.09041685845845e-115	3.77175390700902e-112
AT2G15970	ABA-Col0	Mock-Col0	NA	NA	5899.75380125412	2.07685723181074	0.0917572908435859	22.6342475101085	1.99438819445112e-113	1.75542422715234e-110
AT4G26080	ABA-Col0	Mock-Col0	NA	NA	1634.22236483371	2.01708154969245	0.0895619828498703	22.5216267606939	2.54839859245566e-112	2.14553001497006e-109
AT1G20450	ABA-Col0	Mock-Col0	NA	NA	2530.50379340114	2.18768146928452	0.0977024314842686	22.391269450001	4.78757663671267e-111	3.86277641638767e-108
AT1G69530	ABA-Col0	Mock-Col0	NA	NA	1541.16984611062	-2.08295660517166	0.0934402495981997	-22.291856176846	4.43230254363205e-110	3.43308425819564e-107
AT2G33380	ABA-Col0	Mock-Col0	NA	NA	375.480900388109	6.51579991628908	0.297110502167525	21.9305607467728	1.32781072836922e-106	9.88912574774674e-104
AT1G29395	ABA-Col0	Mock-Col0	NA	NA	399.099861230113	3.20311192317023	0.146449618643004	21.8717669110383	4.82522987496618e-106	3.46058338143871e-103
AT4G12480	ABA-Col0	Mock-Col0	NA	NA	1301.9806103606	-2.61453257885306	0.120021100018428	-21.7839411441124	3.29474296618707e-105	2.27855009990166e-102
AT5G41040	ABA-Col0	Mock-Col0	NA	NA	1037.45872345879	2.40602504540908	0.112835493498526	21.3232997065814	6.90164730629225e-101	4.60839649789804e-98
AT1G73260	ABA-Col0	Mock-Col0	NA	NA	684.152083915491	2.45196181708762	0.115664384130331	21.1989354849694	9.76809206552269e-100	6.30497782522604e-97
AT2G41190	ABA-Col0	Mock-Col0	NA	NA	409.815078146687	3.26599413258916	0.154446680261312	21.1464184731155	2.97704520775949e-99	1.85959688396951e-96
AT3G22620	ABA-Col0	Mock-Col0	NA	NA	1603.22100740942	2.80641668911667	0.134337730442057	20.8907555597506	6.49831962368241e-97	3.93229566228082e-94
AT1G77120	ABA-Col0	Mock-Col0	NA	NA	742.62766611607	2.33847580103332	0.114408649123033	20.4396767111425	7.42292269626336e-93	4.35568106334678e-90
AT4G02280	ABA-Col0	Mock-Col0	NA	NA	358.446593762818	2.93729600118907	0.145345102689843	20.2091157309722	8.13930910651872e-91	4.63557592760672e-88
AT5G57050	ABA-Col0	Mock-Col0	NA	NA	288.133002947063	3.21906066373023	0.159870848683172	20.1353823429666	3.61512313447581e-90	2.00009269645684e-87
AT3G22600	ABA-Col0	Mock-Col0	NA	NA	1694.50769254169	2.23216978254793	0.1111362331128	20.0849868672653	9.98497999553353e-90	5.37080979537531e-87
AT1G69260	ABA-Col0	Mock-Col0	NA	NA	329.547437465803	3.00810312327075	0.150166114069507	20.0318370220222	2.90732991513815e-89	1.52155503991176e-86
AT5G17460	ABA-Col0	Mock-Col0	NA	NA	629.567188868175	2.4671433130997	0.123729517812471	19.939811911649	1.8375432139183e-88	9.36373336692475e-86
AT5G14780	ABA-Col0	Mock-Col0	NA	NA	1479.43224384313	1.80781411900294	0.0924723064232799	19.5497894334754	4.14227029103533e-85	2.05669030552841e-82
AT4G33550	ABA-Col0	Mock-Col0	NA	NA	332.700802418371	2.95438382168951	0.151201467081496	19.5393859511768	5.07895398917503e-85	2.45872162615963e-82
AT3G57010	ABA-Col0	Mock-Col0	NA	NA	1237.86637114483	1.98670897636044	0.102115719133285	19.4554667314962	2.61957166084058e-84	1.23720452781749e-81
AT5G44440	ABA-Col0	Mock-Col0	NA	NA	925.939197043343	2.13903765805134	0.110081545744339	19.4313919157639	4.18848681627553e-84	1.93109187405617e-81
AT1G62570	ABA-Col0	Mock-Col0	NA	NA	927.197010667898	2.20728763250904	0.113852859423283	19.3871954001855	9.89894143791121e-84	4.45774655822588e-81
AT3G03341	ABA-Col0	Mock-Col0	NA	NA	248.245418981327	5.11774448718736	0.265221048887163	19.2961475292433	5.78659048135353e-83	2.54662586547568e-80
AT2G40170	ABA-Col0	Mock-Col0	NA	NA	237.934222175194	5.6117700648269	0.291238657762692	19.2686304350417	9.85085301960628e-83	4.23893150825902e-80
AT1G20440	ABA-Col0	Mock-Col0	NA	NA	6087.69969460323	2.12610071531943	0.110394280213738	19.2591564635687	1.18289842647271e-82	4.97948807178641e-80
AT2G31980	ABA-Col0	Mock-Col0	NA	NA	310.185579745811	3.03959825360221	0.158572301560301	19.1685321061341	6.77948693326078e-82	2.79314861650344e-79
AT2G45220	ABA-Col0	Mock-Col0	NA	NA	766.984382992946	2.70166173689007	0.143160457993424	18.8715639413097	1.95428322489335e-79	7.8839042430906e-77
AT1G29090	ABA-Col0	Mock-Col0	NA	NA	235.399486130847	-4.74568398095516	0.252219273669803	-18.8157071103457	5.61542355445369e-79	2.21912370833554e-76
AT4G34000	ABA-Col0	Mock-Col0	NA	NA	1054.44847759225	1.81344003404273	0.0966338475782659	18.766095726179	1.43017954142764e-78	5.53879932804095e-76
AT4G36600	ABA-Col0	Mock-Col0	NA	NA	219.329778704841	5.68012037773674	0.30341888699962	18.7203915811077	3.37659789505384e-78	1.28204787529064e-75
AT1G03790	ABA-Col0	Mock-Col0	NA	NA	253.186449657355	3.26940035474719	0.175344477509714	18.6455849718225	1.37146012221228e-77	5.10710650125356e-75
AT1G16850	ABA-Col0	Mock-Col0	NA	NA	231.999942069883	3.48602210061545	0.188501008425961	18.4933870101002	2.33422071288539e-76	8.52827356307785e-74
AT1G54100	ABA-Col0	Mock-Col0	NA	NA	860.940721234233	1.91726274605023	0.104274173010388	18.3867461203382	1.67750522482365e-75	6.01540947657134e-73
AT5G42800	ABA-Col0	Mock-Col0	NA	NA	917.331601069645	1.90463776111679	0.103890061118523	18.3332047417306	4.49616698261904e-75	1.58297777184427e-72
AT3G48520	ABA-Col0	Mock-Col0	NA	NA	393.58010681831	2.63756376935164	0.144199756603863	18.2910417567305	9.75332216608573e-75	3.37255947185864e-72
AT2G19900	ABA-Col0	Mock-Col0	NA	NA	183.659189161839	4.49239142586406	0.245769782276803	18.2788599324404	1.21948571120415e-74	4.14282830030827e-72
AT3G11410	ABA-Col0	Mock-Col0	NA	NA	731.181125440661	2.35614687963631	0.12895216028372	18.2714804812291	1.39611218453513e-74	4.66108902436867e-72
AT4G27410	ABA-Col0	Mock-Col0	NA	NA	454.255759378714	2.36804776225031	0.129943623102687	18.2236550413788	3.35011518381875e-74	1.09951915965197e-71
AT5G61820	ABA-Col0	Mock-Col0	NA	NA	951.582861075492	1.87289885293801	0.10314542629311	18.1578468405934	1.11305263368157e-73	3.59219186643498e-71
AT1G80130	ABA-Col0	Mock-Col0	NA	NA	914.5537582247	1.79154375343393	0.098906789268566	18.113455776724	2.49577743697783e-73	7.92266135895716e-71
AT3G45140	ABA-Col0	Mock-Col0	NA	NA	3802.45991779413	1.6942822372009	0.0937198495806661	18.0781578799121	4.73642711184163e-73	1.47929313860808e-70
AT5G59220	ABA-Col0	Mock-Col0	NA	NA	175.953082400317	4.19120512147747	0.232059588188273	18.0609004531935	6.47575981980839e-73	1.9904224309646e-70
AT5G20250	ABA-Col0	Mock-Col0	NA	NA	1836.38149507755	-1.65195957295422	0.0918496870957826	-17.9854676176689	2.53243345049428e-72	7.66219395865175e-70
AT3G26740	ABA-Col0	Mock-Col0	NA	NA	3245.0206347083	1.476484225623	0.0825793228308527	17.8795874682489	1.70090846152599e-71	5.06713714599835e-69
AT1G02205	ABA-Col0	Mock-Col0	NA	NA	427.812800643991	3.27103691426735	0.183459168252561	17.8297816643551	4.15038746113155e-71	1.2176985272326e-68
AT4G14090	ABA-Col0	Mock-Col0	NA	NA	500.985431724486	2.23621068424126	0.126040978377214	17.7419337189589	1.98968457862827e-70	5.75048540008327e-68
AT1G49450	ABA-Col0	Mock-Col0	NA	NA	291.767203412363	3.08656154721224	0.174658101769011	17.6720204556802	6.8884922607257e-70	1.96159947259842e-67
AT2G35300	ABA-Col0	Mock-Col0	NA	NA	228.242871662918	3.67054539294824	0.20891457627969	17.5695992989699	4.2113638214221e-69	1.18186737736257e-66
AT2G38310	ABA-Col0	Mock-Col0	NA	NA	1111.98160385436	-2.02294588204902	0.115246834593772	-17.5531578735295	5.62629357796346e-69	1.55639355490978e-66
AT1G58270	ABA-Col0	Mock-Col0	NA	NA	2397.43462289834	1.67518230937034	0.095457563066055	17.5489741783073	6.05640295291014e-69	1.65177727859369e-66
AT4G36880	ABA-Col0	Mock-Col0	NA	NA	318.546152807408	-2.70257537284349	0.156561733557616	-17.2620429745619	9.08393761375805e-67	2.44307455490015e-64
AT4G11460	ABA-Col0	Mock-Col0	NA	NA	195.141736915851	-4.01733871160244	0.233990894171629	-17.1687822546453	4.54862857407375e-66	1.20657046175841e-63
AT4G22880	ABA-Col0	Mock-Col0	NA	NA	859.526433228564	1.97638055168393	0.115849183582149	17.0599437179674	2.94839133257108e-65	7.71522294106843e-63
AT1G60190	ABA-Col0	Mock-Col0	NA	NA	196.134275984533	3.09369353962516	0.181731438648667	17.0234361353737	5.5043481914517e-65	1.42114931172361e-62
AT3G50400	ABA-Col0	Mock-Col0	NA	NA	197.317623577377	3.33199392983418	0.196628713622824	16.9456122071045	2.07364200593052e-64	5.28342155300509e-62
AT1G73600	ABA-Col0	Mock-Col0	NA	NA	456.256255186797	-2.26177642713413	0.133764939009404	-16.9085893798757	3.88906122720665e-64	9.78023137709474e-62
AT4G12470	ABA-Col0	Mock-Col0	NA	NA	2691.6544161434	-1.72566403217025	0.102441894605428	-16.8452959486637	1.13599250990387e-63	2.82017422586904e-61
AT1G27020	ABA-Col0	Mock-Col0	NA	NA	310.183552291012	-2.78880771702041	0.165970580116449	-16.803024458092	2.31911154327399e-63	5.68446530683006e-61
AT2G47780	ABA-Col0	Mock-Col0	NA	NA	765.639404642562	1.75152972782284	0.104295505381007	16.7939138069684	2.70409616388614e-63	6.54526476468641e-61
AT3G28220	ABA-Col0	Mock-Col0	NA	NA	304.521964242796	3.12960090897561	0.186732128993542	16.7598416289885	4.79900788146315e-63	1.14725911872411e-60
AT4G22240	ABA-Col0	Mock-Col0	NA	NA	2081.66349247813	1.39082018406812	0.0830479616663305	16.7471922990254	5.93626239037093e-63	1.40182664545296e-60
AT1G64110	ABA-Col0	Mock-Col0	NA	NA	211.165646244081	2.94913588020749	0.177104974196655	16.6519088104934	2.93102329782986e-62	6.83811266737077e-60
AT3G11430	ABA-Col0	Mock-Col0	NA	NA	236.312017235608	2.94239273713937	0.176766618651044	16.6456356952099	3.25491251649176e-62	7.50334832968409e-60
AT5G15960	ABA-Col0	Mock-Col0	NA	NA	2497.633217292	3.70959697287428	0.224390418698251	16.5318866749955	2.16267028798605e-61	4.92681734783081e-59
AT4G21020	ABA-Col0	Mock-Col0	NA	NA	146.107334619089	4.93569988835266	0.300285018108769	16.4367170877798	1.04424532293457e-60	2.35125191084942e-58
AT1G07985	ABA-Col0	Mock-Col0	NA	NA	261.887313650273	2.83392729025687	0.172464835522871	16.4319136806358	1.13034772567086e-60	2.51586820228628e-58
AT1G76180	ABA-Col0	Mock-Col0	NA	NA	3111.24880310689	1.35302490568539	0.0843481458731873	16.0409561073173	6.61283951421257e-58	1.45512527674105e-55
