sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT2G15880	ABA-g7g8	ABA-Col0	NA	NA	828.938670957142	2.84202343333181	0.125994367315697	22.5567499078011	1.15288291943993e-112	1.57380047332744e-108
AT3G19680	ABA-g7g8	ABA-Col0	NA	NA	790.348673628019	1.94110606936185	0.108530782586459	17.8853042713067	1.53512890866391e-71	1.04780223660855e-67
AT3G10040	ABA-g7g8	ABA-Col0	NA	NA	1378.89225820372	1.92309498783374	0.111623311412022	17.2284352032458	1.62487784303082e-66	7.39373581173793e-63
AT3G01345	ABA-g7g8	ABA-Col0	NA	NA	589.135456341389	-9.57759384672489	0.660520032146373	-14.5000808160236	1.21007342507542e-47	4.12967808142613e-44
AT2G21660	ABA-g7g8	ABA-Col0	NA	NA	2109.40572001148	-4.87252704513253	0.346476812580303	-14.0630682002803	6.40480276792956e-45	1.74863925170013e-41
AT3G02550	ABA-g7g8	ABA-Col0	NA	NA	1887.94341978271	1.31986331257106	0.105409341338593	12.5213125877661	5.70832563112619e-36	1.29873921984173e-32
AT5G44440	ABA-g7g8	ABA-Col0	NA	NA	1013.2912102975	-1.21482255458171	0.103728719792016	-11.7115352143314	1.11246837708154e-31	2.16947225936287e-28
AT3G21720	ABA-g7g8	ABA-Col0	NA	NA	2449.28092394929	-1.11857913009629	0.0963751886763993	-11.6065052163184	3.81907709433032e-31	6.5167776768379e-28
AT5G20630	ABA-g7g8	ABA-Col0	NA	NA	6644.50251679175	-1.33587928106339	0.115637670794637	-11.5522845789224	7.18838199076585e-31	1.09031780617716e-27
AT5G25980	ABA-g7g8	ABA-Col0	NA	NA	459.69052998703	-1.71687881391255	0.150209683837365	-11.4298810173347	2.96514836015006e-30	4.04772402644084e-27
AT1G29920	ABA-g7g8	ABA-Col0	NA	NA	50519.7387480822	0.926777480985514	0.0814470550528135	11.378894919952	5.32704570833096e-30	6.61086372403872e-27
AT5G19120	ABA-g7g8	ABA-Col0	NA	NA	1007.57696659941	1.17220736199393	0.115501306915967	10.1488666517581	3.3523378954966e-24	3.81356371761868e-21
AT1G56660	ABA-g7g8	ABA-Col0	NA	NA	480.190911157327	-1.22612725067145	0.124310285649735	-9.86344166343778	5.99582101332479e-23	6.29607328099205e-20
AT5G20250	ABA-g7g8	ABA-Col0	NA	NA	1258.18322717812	1.01825579623464	0.104992100404415	9.69840390193605	3.06251786716279e-22	2.98617367175994e-19
AT5G11330	ABA-g7g8	ABA-Col0	NA	NA	244.671965975376	-1.37181037179086	0.146973089980855	-9.33375199480087	1.02187977338168e-20	9.29978719095557e-18
AT4G33070	ABA-g7g8	ABA-Col0	NA	NA	404.277427985064	1.15464643166536	0.125259096566621	9.21806450241515	3.02511170168436e-20	2.58098748998083e-17
AT3G27220	ABA-g7g8	ABA-Col0	NA	NA	447.411466847693	1.17131972348149	0.128019549812763	9.1495379041296	5.71775992376658e-20	4.59136121878456e-17
AT3G15450	ABA-g7g8	ABA-Col0	NA	NA	721.939662291625	1.03635839152693	0.113707774450224	9.11422632742325	7.92337688564434e-20	6.00900099255172e-17
