sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT5G52310	ABA-g7g8	Mock-g7g8	NA	NA	5735.0445710206	3.55975793944364	0.0802432447148179	44.36208869787	0	0
AT5G15960	ABA-g7g8	Mock-g7g8	NA	NA	2824.64141460273	3.8062210887895	0.100044491371162	38.0452840193723	0	0
AT2G42540	ABA-g7g8	Mock-g7g8	NA	NA	1869.43453334276	5.6558984876354	0.131394813381181	43.0450665600281	0	0
AT5G52300	ABA-g7g8	Mock-g7g8	NA	NA	1245.17742560313	6.34427535704082	0.177894774579596	35.6630787612156	1.47752808207922e-278	7.09582861418546e-275
AT2G39800	ABA-g7g8	Mock-g7g8	NA	NA	1511.9369851331	3.84887480194351	0.111327813964732	34.5724456887549	6.55750807331817e-262	2.51939460176884e-258
AT3G02480	ABA-g7g8	Mock-g7g8	NA	NA	1038.41855395302	4.18270513954838	0.12238026744232	34.1779375626857	5.14409706024862e-256	1.6469684087896e-252
AT5G06760	ABA-g7g8	Mock-g7g8	NA	NA	977.290430157759	5.74990560384289	0.169337446971686	33.9553105746558	1.01834957005296e-252	2.79464217724534e-249
AT5G09530	ABA-g7g8	Mock-g7g8	NA	NA	1779.47695537483	3.44173973126463	0.105356325043677	32.6676137368858	4.50553988490972e-234	1.08189276486395e-230
AT5G59320	ABA-g7g8	Mock-g7g8	NA	NA	722.858122663327	4.99984638715489	0.160292348262393	31.1920465409261	1.36582880118621e-213	2.91528569675413e-210
AT5G15970	ABA-g7g8	Mock-g7g8	NA	NA	5467.4646945312	2.7579929270371	0.0952101976015237	28.9674110180921	1.69393727013979e-184	3.25405349593854e-181
AT5G66400	ABA-g7g8	Mock-g7g8	NA	NA	629.808053118694	5.64915671851758	0.196519608833657	28.7460205729357	1.01567683357447e-181	1.77374108845142e-178
AT3G15670	ABA-g7g8	Mock-g7g8	NA	NA	521.516439639794	4.99533770516489	0.180770482849331	27.6335916485239	4.39502469685295e-168	7.03570203554543e-165
AT1G29395	ABA-g7g8	Mock-g7g8	NA	NA	592.490573334258	3.65751986380977	0.133003297467372	27.4994675579905	1.78156364874542e-166	2.63260289941534e-163
AT5G25610	ABA-g7g8	Mock-g7g8	NA	NA	2276.62428525558	2.66008337008691	0.0999131466087419	26.6239575108544	3.58482296911396e-156	4.91888923119138e-153
AT4G23600	ABA-g7g8	Mock-g7g8	NA	NA	489.892137764038	4.53352737874312	0.175263576009728	25.8669113227011	1.5702157408853e-147	2.01092295882711e-144
AT1G62570	ABA-g7g8	Mock-g7g8	NA	NA	1073.15872359724	2.97976050411246	0.115405243676122	25.8199749785632	5.29107028680018e-147	6.35259126308946e-144
AT3G17520	ABA-g7g8	Mock-g7g8	NA	NA	440.023538859155	4.68215192028081	0.181585146691661	25.7848838717591	1.31026210746252e-146	1.48059618143264e-143
AT1G69530	ABA-g7g8	Mock-g7g8	NA	NA	1195.49627199155	-2.41454519810354	0.0945566857664998	-25.5354254279393	7.97165125276852e-144	8.50752336476018e-141
AT4G19230	ABA-g7g8	Mock-g7g8	NA	NA	633.037389545986	2.98470209901879	0.11731828673809	25.4410644922054	8.8648324180275e-143	8.96281214475307e-140
