sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT2G21660	Mock-g7g8	Mock-Col0	NA	NA	3159.94355638726	-5.48287188184325	0.106313893500279	-51.5724869189262	0	0
AT3G10040	Mock-g7g8	Mock-Col0	NA	NA	807.136723264327	2.66987709711061	0.106218526571241	25.1357007416208	2.02576003351443e-139	1.52327025720117e-135
AT3G02550	Mock-g7g8	Mock-Col0	NA	NA	1197.98040353559	1.8413489828103	0.102849365214338	17.90335777934	1.11021780638236e-71	5.56552186339478e-68
AT4G39260	Mock-g7g8	Mock-Col0	NA	NA	2109.75816028596	-1.03447665174962	0.0767473544924997	-13.4789877591248	2.07940046318471e-41	7.81802589145872e-38
AT4G32480	Mock-g7g8	Mock-Col0	NA	NA	570.539470367445	1.34939114326581	0.102125612398742	13.2130531369271	7.37703996994552e-40	2.21886608216021e-36
AT3G01345	Mock-g7g8	Mock-Col0	NA	NA	1075.42749594547	-10.9922373884758	0.837357888507065	-13.1272870768244	2.2974047896792e-39	5.75844510533091e-36
AT3G15450	Mock-g7g8	Mock-Col0	NA	NA	873.358217193069	1.17470454619588	0.0909378623608207	12.9176617494583	3.57851728009008e-38	6.92715149957673e-35
AT2G20670	Mock-g7g8	Mock-Col0	NA	NA	849.851985085651	1.27609836514938	0.0988043470760028	12.9154070940601	3.68490005961924e-38	6.92715149957673e-35
AT1G29920	Mock-g7g8	Mock-Col0	NA	NA	63043.3989218117	0.912817865695154	0.0725195739720967	12.587192887349	2.48348974735411e-36	4.14991136782872e-33
AT2G34430	Mock-g7g8	Mock-Col0	NA	NA	19152.834601976	0.79494781820715	0.0642657137346645	12.3697034080921	3.81226478246115e-35	5.73326500634333e-32
AT4G24110	Mock-g7g8	Mock-Col0	NA	NA	269.241180127428	1.6570553431636	0.139476741570843	11.8805137293945	1.49446055312285e-32	2.0431992962195e-29
AT1G80440	Mock-g7g8	Mock-Col0	NA	NA	630.753178444359	1.25601901886245	0.109119203272365	11.5105222655209	1.16769087893945e-30	1.46340859403086e-27
AT5G25980	Mock-g7g8	Mock-Col0	NA	NA	416.655606417868	-1.29343664088509	0.117246472822213	-11.0317744299771	2.68514149159329e-28	3.10629560708243e-25
AT2G15880	Mock-g7g8	Mock-Col0	NA	NA	485.253296678993	1.51730271233455	0.140702609650041	10.7837567199956	4.10759994222109e-27	4.41244253793307e-24
AT3G19680	Mock-g7g8	Mock-Col0	NA	NA	518.945922806238	1.09467412918926	0.103735606530486	10.5525399214545	4.94421445265532e-26	4.95706941023223e-23
AT5G19120	Mock-g7g8	Mock-Col0	NA	NA	1393.99604060042	0.939168160922246	0.0903939807398214	10.3897201255627	2.76162268441004e-25	2.59575272192767e-22
AT2G38470	Mock-g7g8	Mock-Col0	NA	NA	382.658070895149	1.22880884526509	0.11864784956743	10.3567730030094	3.89894795972563e-25	3.44919284507728e-22
AT2G05070	Mock-g7g8	Mock-Col0	NA	NA	17175.0648364297	0.673009726291026	0.0653345092089425	10.3009838818673	6.97442779828126e-25	5.82713442546399e-22
