Geneid	ABA_Col_1	ABA_Col_2	ABA_Col_3	ABA_g7g8_1	ABA_g7g8_2	ABA_g7g8_3	Mock_Col_1	Mock_Col_2	Mock_Col_3	Mock_g7g8_1	Mock_g7g8_2	Mock_g7g8_3
AT1G30814	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78930	2	6	6	3	2	2	5	8	5	1	11	6
AT1G71695	58	168	103	191	139	141	123	147	169	93	153	117
AT1G58983	0	0	0	0	0	0	0	0	0	0	0	0
AT1G12980	0	0	0	0	0	0	0	0	0	0	0	0
AT1G45223	0	0	0	0	0	0	0	0	0	0	0	0
AT1G56250	0	0	0	1	3	0	6	2	1	4	5	8
AT1G69810	6	26	10	17	13	8	7	16	18	10	23	13
AT1G72450	7	13	2	26	32	18	39	29	26	20	36	41
AT1G76280	51	64	51	62	45	55	103	103	60	53	76	42
AT1G65630	0	0	0	0	0	0	0	0	0	0	3	0
AT1G71390	0	0	0	0	0	0	0	0	0	0	0	0
AT1G56233	0	0	0	0	0	0	0	0	0	0	0	0
AT1G15210	8	10	6	29	18	25	22	28	28	3	27	16
AT1G15250	13	23	14	22	18	17	50	46	43	23	45	40
AT1G79700	1	7	3	13	12	6	3	3	7	1	8	4
AT1G73360	6	9	7	5	4	12	7	11	11	1	4	8
AT1G16360	0	3	0	1	2	2	2	2	6	4	1	2
AT1G10225	2	0	3	2	2	5	0	2	1	0	0	0
AT1G26670	12	40	19	39	48	40	27	25	36	17	52	33
AT1G52200	0	0	5	6	7	2	10	8	9	3	5	13
AT1G57800	0	2	2	1	0	0	0	0	2	0	0	0
AT1G69460	56	117	86	102	128	103	122	104	86	80	104	95
AT1G04310	12	28	18	30	23	35	15	8	12	20	10	9
AT1G08080	0	0	0	0	0	0	0	0	0	0	0	0
AT1G75550	16	15	12	12	2	11	31	18	18	11	15	9
AT1G71890	3	2	1	3	5	3	5	10	9	13	8	7
AT1G05430	9	15	21	31	37	29	50	40	30	18	31	22
AT1G80870	4	6	3	6	12	5	14	24	8	10	8	6
AT1G75310	6	11	8	23	17	12	10	17	8	7	19	4
AT1G02010	36	20	41	38	30	21	29	37	13	12	30	33
AT1G47900	2	17	10	16	9	20	18	13	20	8	16	13
AT1G14315	0	0	0	0	0	0	0	0	0	0	0	0
AT1G26760	0	0	2	0	0	0	0	0	0	0	0	0
AT1G05250	0	0	0	1	0	0	0	1	0	1	1	0
AT1G67260	0	0	0	0	0	0	0	0	0	0	0	0
AT1G24575	3	9	3	6	4	11	6	6	6	8	2	0
AT1G12790	15	4	5	7	5	15	3	5	18	0	5	7
AT1G04850	44	83	48	78	94	70	66	63	72	66	45	65
AT1G31760	0	6	2	0	0	1	4	5	2	0	4	2
AT1G33250	10	21	18	32	42	33	14	18	39	41	61	28
AT1G74000	5	15	24	15	9	18	4	14	8	8	7	7
AT1G55580	1	3	0	1	3	2	5	1	0	1	6	1
