sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G52690	ABA_Col	Mock_Col	3381.36383459577	28.5209142691304	1704.94237443245	6.89364809222532	0.169432417662204	40.6867126571323	0	0
AT5G06760	ABA_Col	Mock_Col	2603.64732970452	47.762126983796	1325.70472834416	5.76658850037731	0.149783449377488	38.499503946155	0	0
AT2G42540	ABA_Col	Mock_Col	2640.15411410374	50.3660795205398	1345.26009681214	5.71034598240295	0.153642911843255	37.1663483456275	2.38704378256156e-302	1.55802347687793e-298
AT5G52310	ABA_Col	Mock_Col	11114.385052466	1248.35774550194	6181.37139898396	3.15427745940849	0.0895204716350101	35.235264088744	5.76949752044719e-272	2.82431327369691e-268
AT3G50970	ABA_Col	Mock_Col	2689.96155939584	383.307344780649	1536.63445208825	2.81088522871802	0.0911494209721789	30.8382126703358	8.0607722194777e-209	3.15675961659186e-205
AT3G15670	ABA_Col	Mock_Col	1322.8176630252	25.4934814187752	674.155572221989	5.69579442126612	0.188195398905573	30.2653223957084	3.28002533927869e-201	1.0704362694736e-197
AT5G66400	ABA_Col	Mock_Col	1607.00123523291	15.4600369174697	811.230636075191	6.70642474743809	0.224688100036092	29.84770776183	9.40113254455992e-196	2.6297653765004e-192
AT2G46680	ABA_Col	Mock_Col	1404.03722237547	100.42521347877	752.23121792712	3.80567306611328	0.128018974234458	29.7274141499014	3.39716960271408e-194	8.31499724884305e-191
AT3G02480	ABA_Col	Mock_Col	1746.3163005769	81.7256630532411	914.02098181507	4.41965789577655	0.149718830767327	29.5197195511431	1.60775281050683e-191	3.49793419805937e-188
AT3G17520	ABA_Col	Mock_Col	1189.25730056067	21.7560027605651	605.506651660615	5.77238863652154	0.196197962333528	29.4212466218621	2.93771156534895e-190	5.75233301610979e-187
AT5G59320	ABA_Col	Mock_Col	1366.29413729963	65.4996453953536	715.896891347492	4.38111839398494	0.14941372890087	29.3220604707056	5.42857261032787e-189	9.66335275298454e-186
