sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT2G15880	ABA_g7g8	ABA_Col	1475.65993185182	203.77458317751	839.717257514664	2.85046698991543	0.126895945080477	22.4630266011076	9.54592377951163e-112	1.31561921529229e-107
AT3G19680	ABA_g7g8	ABA_Col	1256.37259389441	326.210138198057	791.291366046233	1.94438996862421	0.108760402614552	17.8777378704191	1.7582757626584e-71	1.2116278280479e-67
AT3G10040	ABA_g7g8	ABA_Col	2162.21728089277	573.709419262961	1367.96335007786	1.91570598903103	0.111588307642659	17.1676229302243	4.64038050639425e-66	2.13179080463752e-62
AT3G01345	ABA_g7g8	ABA_Col	1.45602043290665	1175.69851882313	588.577269628019	-9.57594149530159	0.660395509647147	-14.5003128510339	1.20598979070181e-47	4.15523782386309e-44
AT2G21660	ABA_g7g8	ABA_Col	137.855395956822	4052.78649639722	2095.32094617702	-4.88013738654405	0.338643451774518	-14.4108423209478	4.42283244260385e-47	1.21910953447932e-43
AT3G02550	ABA_g7g8	ABA_Col	2689.92290188067	1073.37522650808	1881.64906419437	1.32473122217047	0.105965872937948	12.501489257265	7.32657520973241e-36	1.68291432567553e-32
AT5G44440	ABA_g7g8	ABA_Col	610.567508655611	1414.96940659447	1012.76845762504	-1.21234272692994	0.103485254250997	-11.7151253645227	1.0663339030976e-31	2.09945912178445e-28
AT3G21720	ABA_g7g8	ABA_Col	1509.72030176961	3304.7412748994	2407.2307883345	-1.1293796893985	0.0974707050553071	-11.5868628297873	4.80407654445977e-31	8.27622286696807e-28
AT5G20630	ABA_g7g8	ABA_Col	3769.33209127423	9502.48088006066	6635.90648566744	-1.33401098600938	0.11537208613976	-11.5626841001504	6.36864666566044e-31	9.75252092734802e-28
AT5G25980	ABA_g7g8	ABA_Col	213.788416315814	705.004099242228	459.396257779021	-1.71825911865731	0.150113584343972	-11.446393250594	2.45134177293475e-30	3.37843923145867e-27
AT1G29920	ABA_g7g8	ABA_Col	66207.3851696708	34800.6400679408	50504.0126188058	0.927879871916764	0.0818574137572669	11.3353186880326	8.77122374542823e-30	1.09895459690447e-26
AT5G19120	ABA_g7g8	ABA_Col	1396.37256497629	619.486892357976	1007.92972866713	1.17167529343998	0.11573674176141	10.1236243185019	4.34039127955356e-24	4.98493938456727e-21
AT1G56660	ABA_g7g8	ABA_Col	287.511783852987	669.973564815486	478.742674334236	-1.21948327636878	0.124956452519274	-9.75926614258424	1.6836912154707e-22	1.78497171781671e-19
AT5G20250	ABA_g7g8	ABA_Col	1685.2078358796	831.136091669603	1258.1719637746	1.01989469886535	0.104781675712397	9.73352155261139	2.1694940927905e-22	2.13571197048848e-19
AT5G11330	ABA_g7g8	ABA_Col	136.460020996858	352.330397467876	244.395209232367	-1.36908704423288	0.147630969013828	-9.27371169733803	1.79778417067245e-20	1.65180409601385e-17
AT4G33070	ABA_g7g8	ABA_Col	557.751356802434	250.157363501112	403.954360151773	1.15444775244317	0.125524611798039	9.19698325218162	3.68139818902565e-20	3.17106436507197e-17
AT3G27220	ABA_g7g8	ABA_Col	599.427856372764	264.537812720599	431.982834546681	1.17710617338958	0.128184714966411	9.18289028218399	4.19672858190547e-20	3.40231254798948e-17
AT5G03860	ABA_g7g8	ABA_Col	781.349131325625	1431.15579222348	1106.25246177456	-0.873241685880655	0.0960196710534355	-9.09440405596361	9.51066040204609e-20	7.28199564783329e-17
AT3G15450	ABA_g7g8	ABA_Col	971.333520459595	473.104421588179	722.218971023887	1.03690783699278	0.114192530454443	9.08034731226532	1.08228938793737e-19	7.85058544450152e-17
AT4G32480	ABA_g7g8	ABA_Col	1405.5252320218	693.680132933203	1049.6026824775	1.02045598739653	0.11261748559112	9.06125706891999	1.28955694425646e-19	8.88633690287127e-17
AT5G54190	ABA_g7g8	ABA_Col	88.5648824443041	259.248748278781	173.906815361542	-1.55337143699836	0.172536267741774	-9.00315891452577	2.19314559109101e-19	1.43933012078173e-16
AT5G39890	ABA_g7g8	ABA_Col	342.102800190425	131.023613905977	236.563207048201	1.38489820304673	0.156313868054055	8.85972703693706	8.02105936998755e-19	5.02482910168947e-16
AT4G24110	ABA_g7g8	ABA_Col	400.777494753115	163.51070154586	282.144098149488	1.29401795477359	0.146150773359462	8.8539932087182	8.44425277241194e-19	5.05994311779919e-16
AT4G24570	ABA_g7g8	ABA_Col	140.767595276564	362.547761188709	251.657678232637	-1.36569354195828	0.154357593239969	-8.84759546512966	8.94251299298156e-19	5.13523808621966e-16
AT5G62520	ABA_g7g8	ABA_Col	267.336768382258	89.3435504075145	178.340159394886	1.57513727199915	0.179693176652163	8.7657044154113	1.85612418689392e-18	1.02324414175088e-15
AT2G30020	ABA_g7g8	ABA_Col	140.649702983153	359.065014482647	249.8573587329	-1.34881842038154	0.15476678815127	-8.71516710072963	2.90330110999626e-18	1.53897291915263e-15
AT4G29780	ABA_g7g8	ABA_Col	189.274176275164	427.617045042888	308.445610659026	-1.1763798704943	0.137057002568754	-8.58314313348691	9.23153730337087e-18	4.71218693018731e-15
