sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT5G52310	ABA_g7g8	Mock_g7g8	10588.5297004201	897.457787248262	5742.9937438342	3.56177041645928	0.0796049724154122	44.7430645145188	0	0
AT5G15960	ABA_g7g8	Mock_g7g8	5281.03078506594	376.24968363515	2828.64023435054	3.81217310381581	0.099864711257588	38.1733753175615	0	0
AT2G42540	ABA_g7g8	Mock_g7g8	3664.68887964661	73.1524717350244	1868.92067569082	5.6486908378873	0.131219613465115	43.0476107094236	0	0
AT5G52300	ABA_g7g8	Mock_g7g8	2463.62200774031	30.40423540379	1247.01312157205	6.34678466996135	0.177631707306052	35.7300212119569	1.35184272335742e-279	6.57130747824043e-276
AT2G39800	ABA_g7g8	Mock_g7g8	2787.17191890103	191.855992311949	1489.51395560649	3.8469187774092	0.111672977331631	34.4480721238868	4.81243088876408e-260	1.87145812402258e-256
AT3G02480	ABA_g7g8	Mock_g7g8	1969.58616548257	107.567867727172	1038.57701660487	4.18332600590669	0.122458917192025	34.1610566370346	9.1628364581435e-256	2.96936986820237e-252
AT5G06760	ABA_g7g8	Mock_g7g8	1913.0203174084	36.2165015454973	974.618409476948	5.74619868975858	0.169503235463655	33.9002301285906	6.60984779418129e-252	1.83602686442944e-248
AT5G09530	ABA_g7g8	Mock_g7g8	3241.4189212864	297.007483087387	1769.21320218689	3.44436643926856	0.105086696262244	32.7764271004688	1.27631945004855e-235	3.10209442334301e-232
AT5G59320	ABA_g7g8	Mock_g7g8	1394.925077339	42.7610113594893	718.843044349244	5.03652889945914	0.161853089093956	31.1179040675302	1.37913732594724e-212	2.97954957396868e-209
AT5G15970	ABA_g7g8	Mock_g7g8	9452.55797016397	1389.40660748273	5420.98228882335	2.76614686971393	0.0952472839779335	29.0417401335536	1.95658302562403e-185	3.80438003502336e-182
AT5G66400	ABA_g7g8	Mock_g7g8	1236.73875583094	24.3565877201242	630.54767177553	5.65119014235914	0.196367757214446	28.7786051158474	3.97411995792891e-182	7.02479895108815e-179
AT1G04220	ABA_g7g8	Mock_g7g8	1393.72369708894	118.415498353465	756.069597721202	3.56683824147873	0.125115517833603	28.5083601398065	9.22776908181672e-179	1.49520618355704e-175
AT1G29395	ABA_g7g8	Mock_g7g8	1099.57465715699	87.2583232449878	593.416490200987	3.6604235617843	0.132947786388603	27.5327905880656	7.11316911564822e-167	1.06391123295895e-163
AT3G15670	ABA_g7g8	Mock_g7g8	1006.00354212966	32.0812094714244	519.042375800544	5.00265374322275	0.181939424178816	27.4962601745182	1.94605444604784e-166	2.70279161778245e-163
AT5G25610	ABA_g7g8	Mock_g7g8	3916.46105309786	620.373337529169	2268.41719531352	2.65795636387549	0.0993323317870273	26.7582197664932	9.90715573009565e-158	1.28423157343987e-154
AT1G62570	ABA_g7g8	Mock_g7g8	1883.73144958209	238.011002243022	1060.87122591256	2.98848872471539	0.114869211727264	26.0164467029774	3.22662620526165e-149	3.92115749594422e-146
AT4G23600	ABA_g7g8	Mock_g7g8	939.407566992126	40.0310174190856	489.719292205606	4.53334026564291	0.175167646117639	25.8800090434418	1.11831707918783e-147	1.27909160516048e-144
AT3G17520	ABA_g7g8	Mock_g7g8	847.649622757276	33.318236278183	440.483929517729	4.68404830397301	0.181659448150623	25.784776688792	1.31389372560652e-146	1.41929720003851e-143
