sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT2G21660	Mock_g7g8	Mock_Col	136.834129094977	6112.07537255617	3124.45475082558	-5.47441831626716	0.105876289714571	-51.7058005246077	0	0
AT3G10040	Mock_g7g8	Mock_Col	1379.74602309694	216.885672077471	798.315847587205	2.67113574631687	0.106720883626574	25.0291756922049	2.9432118215578e-138	2.18459897455128e-134
AT3G02550	Mock_g7g8	Mock_Col	1862.2306385497	522.321008289542	1192.27582341962	1.83635537392841	0.101837259974104	18.0322543477247	1.08765364371142e-72	5.38207278029869e-69
AT4G39260	Mock_g7g8	Mock_Col	1353.14797558621	2898.82883510131	2125.98840534376	-1.09796865887153	0.0759559449021922	-14.4553353958716	2.31996942321225e-47	8.60998652189645e-44
AT4G32480	Mock_g7g8	Mock_Col	817.971789107861	320.753559934596	569.362674521229	1.34919142063467	0.101996126647294	13.2278691846821	6.05805788212755e-40	1.79863738520367e-36
AT3G01345	Mock_g7g8	Mock_Col	1.09613320048287	2148.97209016195	1075.03411168121	-10.9926441300368	0.837310002763766	-13.128523597894	2.26020173904934e-39	5.5921158026979e-36
AT3G15450	Mock_g7g8	Mock_Col	1210.94962137342	537.26568431117	874.107652842297	1.17206247704963	0.0905524764294917	12.9434613305385	2.55837788189163e-38	5.42558852238303e-35
AT2G20670	Mock_g7g8	Mock_Col	1190.28817283845	492.883951235559	841.586062037006	1.27059385433747	0.0989616739589712	12.839251838689	9.88248866174694e-38	1.83381930229542e-34
AT1G29920	Mock_g7g8	Mock_Col	82252.4175514764	43765.8257804267	63009.1216659516	0.910312343084991	0.07163979157199	12.7067977601558	5.42091721885409e-37	8.94150179043211e-34
AT2G34430	Mock_g7g8	Mock_Col	24278.548112141	14019.3057767761	19148.9269444585	0.792395477779239	0.0633501212900919	12.5081919598972	6.73395465474877e-36	9.99655568497455e-33
AT4G24110	Mock_g7g8	Mock_Col	408.712130969784	128.971857004467	268.841993987126	1.66175768692716	0.139768146542699	11.8893877327013	1.34388110267281e-32	1.81362863356163e-29
AT2G34420	Mock_g7g8	Mock_Col	84402.1953607737	51297.2460864745	67849.7207236241	0.71837856543793	0.0606396945648378	11.8466718969011	2.23907860134617e-32	2.76992681974866e-29
AT1G80440	Mock_g7g8	Mock_Col	887.350148409767	372.414895074754	629.882521742261	1.25472003677743	0.108445583917979	11.5700427020285	5.84535714795239e-31	6.67494822010409e-28
AT2G15880	Mock_g7g8	Mock_Col	734.658282945559	256.04600643415	495.352144689855	1.5247089899208	0.133301117022697	11.4380811202144	2.69786481669874e-30	2.86070022884949e-27
AT5G25980	Mock_g7g8	Mock_Col	241.677128409674	592.012436630796	416.844782520235	-1.29578568869187	0.117011341830903	-11.0740178551619	1.67708882470812e-28	1.65975890685281e-25
AT3G19680	Mock_g7g8	Mock_Col	707.670030102311	331.612073521766	519.641051812039	1.09550320585343	0.103380099987061	10.5968480006359	3.08192836996669e-26	2.85945166575972e-23
AT2G38470	Mock_g7g8	Mock_Col	544.937792434965	230.72245105105	387.830121743008	1.23859410239942	0.118028817073322	10.4939974246287	9.20496914805636e-26	8.03810394134686e-23
AT5G19120	Mock_g7g8	Mock_Col	1830.04566550322	957.520494635165	1393.78308006919	0.936159737985195	0.0894841356534802	10.4617397391019	1.29456550628263e-25	1.06765694115365e-22
AT2G05070	Mock_g7g8	Mock_Col	21098.9343714201	13253.2488889025	17176.0916301613	0.670811533351084	0.0643258173694248	10.4283406069852	1.84074781208665e-25	1.43820533002244e-22
AT3G27690	Mock_g7g8	Mock_Col	7523.30181645279	4296.61677050334	5909.95929347806	0.807550914037137	0.0787540841719088	10.2540829790411	1.13447689530056e-24	8.42065475536842e-22
AT5G20790	Mock_g7g8	Mock_Col	197.244323027998	474.067718212583	335.656020620291	-1.26443857092057	0.124327219197321	-10.1702473447409	2.69224132739239e-24	1.90315821453048e-21
AT1G23390	Mock_g7g8	Mock_Col	2092.54439378902	1195.77318534731	1644.15878956817	0.808584642658151	0.079676996816252	10.148282126181	3.37247404186719e-24	2.2756535068872e-21
AT5G11330	Mock_g7g8	Mock_Col	139.124258319815	364.058526474442	251.591392397129	-1.38959997668641	0.138206914541008	-10.0544895405656	8.77751396604325e-24	5.66531281851792e-21
AT3G48360	Mock_g7g8	Mock_Col	1182.85561337706	627.032254061202	904.943933719133	0.916358185368254	0.0929609990803943	9.85744768702165	6.36466740415704e-23	3.93681198394631e-20
AT2G05100	Mock_g7g8	Mock_Col	22152.3325462289	14141.4444664457	18146.8885063373	0.647415415343355	0.0657606834112387	9.84502261472407	7.20230280881944e-23	4.27672740787698e-20
AT1G77760	Mock_g7g8	Mock_Col	7074.52941553539	4579.10649825106	5826.81795689323	0.627472456675146	0.0639805925293279	9.80723109726626	1.04804881038275e-22	5.98395561158921e-20
AT4G10265	Mock_g7g8	Mock_Col	141.139224747672	21.9227740023971	81.5309993750344	2.6967196031479	0.276590443288011	9.74986543674553	1.84712946782707e-22	1.01557914629233e-19
AT3G27220	Mock_g7g8	Mock_Col	335.202027759396	123.932479564566	229.567253661981	1.43353165263236	0.153711317143993	9.32612952167644	1.09807679768307e-20	5.82176787914471e-18
AT1G33055	Mock_g7g8	Mock_Col	175.452057957201	43.8233966685696	109.637727312886	1.9936711091165	0.217027045945178	9.18627952766821	4.06663451360564e-20	2.0816961846371e-17
AT4G36040	Mock_g7g8	Mock_Col	950.108674256655	528.590239385257	739.349456820956	0.847156198987857	0.0929456708215553	9.11453101042541	7.90114609743459e-20	3.90975046054722e-17
AT3G13310	Mock_g7g8	Mock_Col	446.898658342451	208.172922622314	327.535790482382	1.10148400962375	0.121130233168869	9.09338635622169	9.60013850618482e-20	4.59722761691334e-17
AT5G03860	Mock_g7g8	Mock_Col	597.593724073921	1143.64159686576	870.617660469839	-0.930250033627322	0.102496460129513	-9.07592352410877	1.12717497941128e-19	5.22903517792515e-17
AT3G21720	Mock_g7g8	Mock_Col	2009.62130599853	3375.20029799421	2692.41080199637	-0.745935729649695	0.0844047878942564	-8.83759971749725	9.77969410943781e-19	4.39938057741225e-16
AT4G36880	Mock_g7g8	Mock_Col	296.302753271108	589.282774478147	442.792763874627	-0.996589330380456	0.11382048318309	-8.75579950558945	2.02661698803423e-18	8.84856740804947e-16
