Geneid	ABA_Col_1	ABA_Col_2	ABA_Col_3	ABA_g7g8_1	ABA_g7g8_2	ABA_g7g8_3	Mock_Col_1	Mock_Col_2	Mock_Col_3	Mock_g7g8_1	Mock_g7g8_2	Mock_g7g8_3
AT1G30814	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78930	0	0	0	0	0	0	0	0	0	0	0	0
AT1G71695	0	0	1	0	0	0	4	2	1	0	0	0
AT1G58983	0	0	0	0	0	0	0	0	0	0	0	0
AT1G12980	0	0	0	0	0	0	0	0	0	0	0	0
AT1G45223	0	0	0	0	0	0	0	0	0	0	0	0
AT1G56250	0	0	0	0	0	0	0	0	0	0	0	0
AT1G69810	9	1	0	2	3	1	5	7	5	8	15	9
AT1G72450	0	2	1	1	2	0	4	4	3	12	4	4
AT1G76280	0	0	0	0	0	0	0	0	0	0	0	0
AT1G71390	0	0	0	0	0	0	0	0	0	0	0	0
AT1G15210	1	0	1	1	0	1	4	0	0	0	0	0
AT1G15250	2	10	6	21	19	12	40	32	30	40	50	24
AT1G79700	4	6	7	30	10	18	20	12	14	34	21	10
AT1G73360	1	0	3	1	0	1	1	3	0	4	8	8
AT1G16360	0	0	0	0	0	0	0	0	0	0	0	0
AT1G10225	0	0	0	0	0	0	0	0	0	0	0	0
AT1G26670	3	1	1	5	4	2	1	2	2	8	5	6
AT1G52200	0	0	0	0	0	0	1	0	0	0	0	0
AT1G69460	3	0	3	1	6	5	0	0	4	3	6	1
AT1G04310	1	0	0	1	0	0	1	0	0	0	0	0
AT1G08080	0	0	0	0	0	0	0	0	0	0	0	0
AT1G75550	0	0	0	0	0	0	0	0	0	0	0	0
AT1G71890	0	0	0	0	0	1	2	0	5	3	1	1
AT1G05430	2	4	6	6	4	2	5	1	3	12	18	6
AT1G80870	0	0	0	1	1	1	1	0	0	1	0	1
AT1G75310	0	2	0	0	0	0	0	0	0	0	1	0
AT1G02010	1	2	3	0	1	1	0	0	0	5	1	6
AT1G47900	1	4	2	3	4	3	2	1	1	3	15	2
AT1G26760	0	0	0	0	0	0	0	0	0	0	1	0
AT1G05250	0	0	0	0	0	0	0	0	0	0	0	0
AT1G67260	0	0	0	0	0	0	0	0	0	0	0	0
AT1G24575	0	0	0	0	0	0	1	0	0	0	0	0
AT1G12790	0	1	0	1	1	0	0	1	0	1	0	1
AT1G04850	20	13	17	21	33	23	31	28	22	49	52	38
