Geneid	ABA_Col_1	ABA_Col_2	ABA_Col_3	ABA_g7g8_1	ABA_g7g8_2	ABA_g7g8_3	Mock_Col_1	Mock_Col_2	Mock_Col_3	Mock_g7g8_1	Mock_g7g8_2	Mock_g7g8_3
AT1G30814	0	0	0	0	0	0	0	0	0	0	0	0
AT1G78930	2	5	0	1	2	6	8	9	12	19	25	6
AT1G71695	164	238	233	436	435	451	448	438	320	563	682	445
AT1G58983	0	0	0	0	0	0	0	0	0	0	0	0
AT1G12980	0	1	0	0	0	0	0	3	1	1	3	0
AT1G45223	0	0	0	0	0	0	0	0	0	0	0	0
AT1G56250	3	1	0	1	0	0	0	1	1	5	6	3
AT1G66852	0	0	0	0	0	0	0	0	0	0	0	0
AT1G69810	13	3	3	7	10	10	17	18	11	28	20	27
AT1G72450	23	42	39	52	43	52	112	102	86	218	240	157
AT1G76280	4	3	7	7	6	13	14	16	20	33	41	37
AT1G65630	0	0	0	0	0	0	0	0	2	0	0	0
AT1G71390	0	0	0	0	0	0	0	0	0	0	0	0
AT1G56233	0	0	0	0	0	0	0	0	0	0	0	0
AT1G15210	43	73	88	103	92	111	190	183	167	369	362	240
AT1G15250	17	23	18	70	40	50	123	105	114	183	221	133
AT1G79700	12	16	12	38	25	36	28	21	27	47	37	30
AT1G62895	0	0	0	0	0	0	0	0	0	0	0	0
AT1G73360	3	3	3	5	3	1	3	5	14	16	15	12
AT1G16360	2	1	8	3	3	5	4	1	0	10	9	7
AT1G10225	0	0	2	3	1	2	0	0	1	2	3	1
AT1G26670	23	34	26	49	51	67	56	57	46	102	101	65
AT1G34855	0	0	0	0	0	0	0	0	0	0	0	0
AT1G52200	5	5	7	20	14	8	36	30	23	90	92	43
AT1G57800	0	0	0	1	0	1	2	0	1	0	2	2
AT1G69460	71	69	112	137	129	146	139	136	120	188	195	134
AT1G04310	35	39	34	50	49	45	32	30	37	56	92	27
AT1G08080	0	0	0	0	0	0	0	2	0	2	5	1
AT1G75550	11	13	6	14	20	24	44	47	49	68	72	40
AT1G71890	27	23	33	29	22	28	77	70	96	96	115	72
AT1G05430	20	27	31	54	30	46	42	61	51	114	86	51
AT1G80870	17	34	18	35	23	38	55	60	63	94	136	82
AT1G75310	23	41	41	50	48	51	56	52	56	135	134	97
AT1G02010	2	2	4	2	0	3	3	4	2	8	3	12
AT1G47900	49	51	60	94	102	73	152	112	108	229	228	173
AT1G14315	0	0	0	0	0	0	0	2	0	0	0	0
AT1G26760	5	11	8	11	20	15	29	23	23	47	52	40
AT1G05250	0	0	0	0	0	0	0	0	0	0	0	0
AT1G67260	0	0	1	0	0	0	0	0	0	0	0	0
AT1G24575	3	4	9	11	6	2	10	12	11	7	15	13
AT1G12790	0	1	1	3	3	1	3	1	1	9	1	5
AT1G04850	205	209	239	280	350	329	364	318	314	503	568	403
AT1G31760	6	4	9	17	13	15	45	14	24	81	62	46
AT1G33250	5	5	1	10	16	5	17	4	5	14	29	20
AT1G74000	72	92	106	102	122	81	74	66	45	80	62	40
AT1G55580	2	1	0	3	3	0	2	1	3	2	11	8
AT1G53903	0	0	0	0	0	0	0	0	0	0	0	0
AT1G19715	32	39	49	51	33	49	44	53	30	74	73	60
AT1G69430	0	0	0	1	5	6	0	0	1	2	0	2
AT1G53340	1	3	0	3	1	0	5	1	2	5	11	14
AT1G29890	22	44	42	70	61	75	76	74	49	127	165	93
AT1G80290	4	0	3	7	6	7	25	8	11	32	27	16
AT1G56540	0	4	3	2	1	3	0	8	0	2	5	1
AT1G48650	39	32	46	73	59	81	162	152	143	259	272	178
AT1G22670	0	0	0	0	0	0	0	0	0	1	0	0
AT1G07030	10	5	6	15	23	23	28	35	17	63	39	23
