log2FC_TE_v1	pvalue_v1	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
AT1G78930	-0.55485316299503	0.512782471547921	-0.720746623520803	0.510185383911372	-0.55485316299503	0.512782471547921	0.79260731489262
AT1G71695	0.271556234015566	0.00525704957811525	0.272522850306545	0.00245407636321301	0.271556234015566	0.00525704957811525	0.0477970846884221
AT1G69810	-0.120982680532922	0.795679577689092	-0.112121181182772	0.861644494012773	-0.112121181182772	0.861644494012773	0.965552723905532
AT1G72450	-1.17888432945682	1.45022279987736e-06	-1.17419496566518	1.11070262011646e-06	-1.17888432945682	1.45022279987736e-06	5.32314921062949e-05
AT1G76280	0.364112044196848	0.410065965805252	0.37920061841519	0.544306870738333	0.37920061841519	0.544306870738333	0.811168058046427
AT1G15210	-0.641160264700687	1.91613629599704e-05	-0.639140234495883	0.000263200920395166	-0.639140234495883	0.000263200920395166	0.00449931303107953
AT1G15250	0.26052824430578	0.394854317216154	0.26735099425481	0.352338309837266	0.26052824430578	0.394854317216154	0.705495354913043
AT1G79700	0.229273702213584	0.420228074551813	0.236368778995996	0.502438236356453	0.236368778995996	0.502438236356453	0.785253729912174
AT1G73360	-0.768661996134355	0.229326921533086	-0.757420898314061	0.340987421820938	-0.757420898314061	0.340987421820938	0.657535037980427
AT1G16360	-1.23171317827828	0.290299460042574	-1.17681944816472	0.182407892377148	-1.23171317827828	0.290299460042574	0.609137703672215
AT1G10225	1.83775955204296	0.14211273731781	0.829871208806182	0.596798925007158	0.829871208806182	0.596798925007158	0.843190905137865
AT1G26670	-0.256778801609992	0.228505899913514	-0.252341057743713	0.320715583843505	-0.252341057743713	0.320715583843505	0.639387449143367
AT1G52200	0.273455593142819	0.58221094081973	0.293851667501729	0.577902770906899	0.273455593142819	0.58221094081973	0.834210722801055
AT1G69460	-0.0941816225403806	0.535412769465317	-0.0922057844296966	0.55304352513597	-0.0922057844296966	0.55304352513597	0.816958633474473
AT1G04310	-0.834631353833548	1.92587643256713e-05	-0.831406973289261	0.000508189049422457	-0.831406973289261	0.000508189049422457	0.0077143097702329
