log2FC_TE_v1	pvalue_v1	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
AT1G78930	0.475690532988839	0.519565880554003	0.457208853008108	0.580527019880431	0.457208853008108	0.580527019880431	0.841928046069722
AT1G71695	-0.138306936125893	0.181776635656582	-0.13769182190907	0.163427150537973	-0.138306936125893	0.181776635656582	0.509070828339334
AT1G56250	3.58673010902273	0.0235836668619801	3.41469417687944	0.034230180059346	3.41469417687944	0.034230180059346	0.199683662078043
AT1G69810	-0.361953190296207	0.428161375485038	-0.366397970635116	0.501440047995332	-0.366397970635116	0.501440047995332	0.799374930061729
AT1G72450	0.478148975635946	0.0757272499300555	0.480856211917079	0.0201432971662641	0.478148975635946	0.0757272499300555	0.317820863256401
AT1G76280	-0.38114126799308	0.402772721669402	-0.38713542617252	0.463492039173101	-0.38713542617252	0.463492039173101	0.7767331581063
AT1G15210	0.211023297152895	0.183835399187784	0.212313021083124	0.171348565636579	0.211023297152895	0.183835399187784	0.511336803706419
AT1G15250	-0.260995074333017	0.36691306190547	-0.256168004464808	0.281651700010738	-0.260995074333017	0.36691306190547	0.699378112755509
AT1G79700	-0.565279412433364	0.0883233456943938	-0.561535842936151	0.12149018435842	-0.561535842936151	0.12149018435842	0.413851672673276
AT1G73360	0.237666854383095	0.700080918854924	0.237851899215618	0.739335744305751	0.237851899215618	0.739335744305751	0.917745078508873
AT1G16360	2.80307091807768	0.0580902994031967	2.86433098514926	0.00648986060330197	2.80307091807768	0.0580902994031967	0.27433489498436
AT1G26670	0.0913967058020653	0.720342755955391	0.0943449865257318	0.709781257746961	0.0913967058020653	0.720342755955391	0.910775535812874
AT1G52200	0.144003429025872	0.793370551281129	0.145519252899751	0.779659615069381	0.144003429025872	0.793370551281129	0.937932073613808
AT1G69460	0.0343647016476323	0.834950864712645	0.0357392897657762	0.821366987000675	0.0343647016476323	0.834950864712645	0.950111392204714
AT1G04310	0.5665138319274	0.012851297508353	0.570154273427446	0.0267133003286124	0.570154273427446	0.0267133003286124	0.170322773701091
AT1G75550	-0.462686534904766	0.291610974795287	-0.455615197650594	0.195418298541674	-0.462686534904766	0.291610974795287	0.630297133877136
AT1G71890	0.336409470621935	0.260888282184962	0.338402865033456	0.175675600076876	0.336409470621935	0.260888282184962	0.599734099040279
AT1G05430	0.0871001560404681	0.725606218006468	0.0883183392814124	0.740325834037168	0.0883183392814124	0.740325834037168	0.918009366564377
AT1G80870	-0.24990968317291	0.338332705601732	-0.248580377439362	0.360193989928045	-0.248580377439362	0.360193989928045	0.692438321929102
AT1G75310	0.331313479893575	0.133446830443033	0.333784151532705	0.158066928364431	0.333784151532705	0.158066928364431	0.475113183899764
AT1G02010	0.390098667288953	0.596290019282336	0.394457569339021	0.681155691580683	0.394457569339021	0.681155691580683	0.891345537530468
