Cluster	group	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
common	common	GO:0009535	chloroplast thylakoid membrane	55/718	367/29066	5.17644828227381e-27	4.56045093668323e-24	3.66165604809263e-24	AT1G29395/AT3G45140/AT4G22240/AT2G45180/AT3G03920/AT3G53460/AT3G27690/AT3G22840/AT2G10940/AT4G37000/AT2G34430/AT1G52220/AT5G23060/AT3G07430/AT5G50920/AT5G42650/AT4G13250/AT3G56940/AT4G04020/AT1G16880/AT2G21530/AT2G20890/AT5G35170/AT4G27700/AT2G46820/AT4G02530/AT1G74880/AT3G50820/AT1G03630/AT4G01050/AT3G21055/AT1G67740/AT2G40300/AT1G55480/AT3G52230/AT4G09010/AT3G17930/AT5G66190/AT2G39730/AT5G20720/AT2G33800/AT1G75690/AT3G26060/AT5G21920/AT4G32260/AT4G15510/AT3G52380/AT5G23890/AT5G12130/AT4G02770/AT1G29930/AT3G63490/AT1G42970/AT4G12800/AT5G17170	55
common	common	GO:0009534	chloroplast thylakoid	39/718	198/29066	6.22456603098837e-24	2.74192133665038e-21	2.20153072253905e-21	AT4G22240/AT2G38540/AT3G53460/AT5G54190/AT2G34430/AT5G46110/AT4G33010/AT5G23060/AT3G61870/AT5G42650/AT5G24490/AT3G56940/AT4G04020/AT2G20890/AT5G35170/AT4G27700/AT2G46820/AT4G02530/AT3G50820/AT1G03630/AT2G17630/AT4G01050/AT1G66670/AT1G55480/AT4G09010/AT5G66190/AT2G33800/AT1G75690/AT3G26060/AT4G32260/AT5G12130/AT4G02770/AT4G20130/AT5G19940/AT1G29930/AT5G18660/AT5G10160/AT4G12800/AT5G17170	39
common	common	GO:0009579	thylakoid	36/718	202/29066	1.17995688595801e-20	3.46514005509669e-18	2.78221413110099e-18	AT5G14780/AT4G22240/AT3G53460/AT5G38430/AT3G27690/AT2G34430/AT5G58330/AT1G52220/AT5G23060/AT2G28000/AT5G49910/AT5G42650/AT4G04020/AT2G46820/AT4G02530/AT3G50820/AT3G16640/AT4G24280/AT2G40300/AT1G55480/AT4G09010/AT5G66190/AT2G39730/AT5G20720/AT2G33800/AT5G59690/AT4G32260/AT4G15510/AT5G17710/AT3G52380/AT2G35370/AT4G02770/AT5G58250/AT1G29930/AT5G09650/AT4G12800	36
common	common	GO:0046686	response to cadmium ion	42/718	340/29066	1.03933352648178e-17	2.28913209207612e-15	1.8379792889362e-15	AT5G14780/AT4G23670/AT3G12580/AT4G37910/AT4G02930/AT1G13930/AT1G02930/AT3G56070/AT3G22200/AT1G09780/AT2G33590/AT1G07920/AT1G20620/AT4G09320/AT5G11670/AT4G33010/AT5G49910/AT3G09440/AT2G19480/AT5G53460/AT1G57720/AT3G55440/AT1G56340/AT1G07440/AT1G27450/AT1G54270/AT2G17630/AT3G16640/AT4G24280/AT2G41530/AT5G59780/AT5G13420/AT1G78870/AT1G70730/AT5G20720/AT2G33800/AT5G64940/AT2G21660/AT5G64250/AT5G09650/AT4G37870/AT1G42970	42
common	common	GO:0003729	mRNA binding	43/718	391/29066	3.14799282201961e-16	5.54676335239856e-14	4.45358142399406e-14	AT5G64100/AT5G02870/AT1G07930/AT3G53460/AT5G61030/AT3G53420/AT2G24050/AT1G56070/AT5G66860/AT5G07090/AT1G20620/AT5G54900/AT4G31580/AT3G49910/AT5G39570/AT4G13850/AT3G18740/AT4G36020/AT3G53020/AT3G58510/AT3G13460/AT5G26742/AT3G45780/AT2G23930/AT1G29250/AT5G16130/AT3G62250/AT1G02150/AT2G21530/AT4G34670/AT1G49600/AT1G54270/AT1G51510/AT4G04885/AT4G11420/AT1G20970/AT1G14410/AT2G21660/AT3G16400/AT1G74230/AT4G27500/AT3G52380/AT4G27000	43
common	common	GO:0051082	unfolded protein binding	21/718	125/29066	4.27025723672935e-12	6.2701610425976e-10	5.03440853172303e-10	AT3G12580/AT4G37910/AT5G59720/AT3G56070/AT3G13470/AT1G53540/AT4G26780/AT5G20890/AT2G29500/AT2G04030/AT2G28000/AT5G49910/AT3G09440/AT5G18820/AT1G55490/AT1G56340/AT1G71840/AT4G24280/AT5G20720/AT5G17710/AT5G61790	21
common	common	GO:0009409	response to cold	33/718	329/29066	1.17258124239737e-11	1.47577724936012e-09	1.18492420284366e-09	AT2G42540/AT5G15970/AT3G11410/AT5G58070/AT4G24960/AT3G53460/AT2G35040/AT5G61030/AT3G22310/AT1G09780/AT3G27690/AT1G56070/AT3G22840/AT1G07720/AT1G20620/AT3G49910/AT4G13850/AT4G36020/AT1G33410/AT4G04020/AT1G16880/AT1G55490/AT3G16450/AT4G24280/AT2G40300/AT1G70200/AT2G39730/AT5G20720/AT2G33800/AT3G48360/AT2G21660/AT5G59820/AT1G42970	33
common	common	GO:0009414	response to water deprivation	31/718	298/29066	1.94421866158496e-11	2.14107080107043e-09	1.71909860603301e-09	AT2G42540/AT5G66400/AT5G59320/AT2G39800/AT5G15970/AT3G11410/AT3G45140/AT5G58070/AT2G38530/AT4G24960/AT1G02930/AT3G22310/AT3G53420/AT2G33590/AT1G08930/AT2G04030/AT4G13850/AT4G36020/AT3G61430/AT3G63520/AT5G61590/AT4G39950/AT1G12110/AT2G47800/AT2G18960/AT4G23400/AT4G34240/AT5G64960/AT2G21660/AT1G74920/AT3G46620	31
common	common	GO:0022626	cytosolic ribosome	24/718	194/29066	1.04476550129227e-10	1.02270934070943e-08	8.21149025577081e-09	AT5G24770/AT5G02870/AT3G13470/AT5G07090/AT3G10610/AT1G20620/AT5G23900/AT3G04770/AT3G18080/AT3G12390/AT3G49910/AT1G52300/AT3G11250/AT1G18540/AT2G47610/AT3G18740/AT2G28000/AT3G09440/AT4G39200/AT5G16130/AT1G55490/AT1G07610/AT4G34670/AT3G14420	24
common	common	GO:0015979	photosynthesis	18/718	112/29066	3.08939731798252e-10	2.7217590371426e-08	2.18534210282553e-08	AT5G54190/AT3G27690/AT3G22840/AT2G34430/AT4G01037/AT4G05390/AT3G56940/AT5G13630/AT1G03630/AT3G21055/AT1G67740/AT2G40300/AT1G55480/AT4G30720/AT4G02770/AT4G27600/AT1G29930/AT4G12800	18
common	common	GO:0005730	nucleolus	34/718	416/29066	1.39610441584287e-09	1.08115936459055e-07	8.68079446806676e-08	AT5G02870/AT5G22650/AT4G25630/AT3G03920/AT3G10530/AT1G15440/AT1G52930/AT3G13470/AT1G56070/AT3G18600/AT3G21540/AT1G07920/AT4G31580/AT3G49910/AT1G60850/AT4G25340/AT2G07698/AT2G47610/AT3G55620/AT3G57000/AT4G18040/AT3G53020/AT3G58510/AT3G08580/AT5G16130/AT2G36620/AT4G34670/AT3G62530/AT4G30220/AT4G00270/AT1G51510/AT2G19760/AT5G09810/AT4G37870	34
common	common	GO:0009735	response to cytokinin	23/718	203/29066	1.47263477583275e-09	1.08115936459055e-07	8.68079446806676e-08	AT5G02870/AT5G58070/AT4G37910/AT1G13930/AT1G56070/AT4G25050/AT1G18540/AT2G07698/AT3G22640/AT5G50920/AT3G46740/AT5G53460/AT1G16880/AT1G36160/AT3G55440/AT1G49600/AT4G02530/AT3G16640/AT2G40300/AT3G18780/AT3G14420/AT2G21660/AT4G32260	23
common	common	GO:0009611	response to wounding	23/718	204/29066	1.62181008273877e-09	1.09908821760989e-07	8.82474798057046e-08	AT4G23600/AT1G73260/AT5G14780/AT3G45140/AT4G22880/AT5G24770/AT3G44260/AT3G44550/AT5G63450/AT5G42650/AT3G13790/AT3G53260/AT5G12140/AT1G76650/AT1G17840/AT2G47800/AT1G55480/AT5G09810/AT3G48360/AT3G21240/AT5G59820/AT4G11280/AT2G46370	23
common	common	GO:0005507	copper ion binding	24/718	237/29066	6.2293533011115e-09	3.92004304162803e-07	3.1474627205616e-07	AT1G19570/AT4G23670/AT1G02930/AT5G07475/AT3G29250/AT5G61030/AT1G56070/AT5G15350/AT4G26780/AT4G05390/AT5G07130/AT4G13850/AT3G08580/AT1G57720/AT3G55440/AT4G27520/AT1G07610/AT5G44790/AT3G09220/AT5G20720/AT1G74230/AT2G32300/AT5G17710/AT3G61440	24
common	common	GO:0042026	protein refolding	9/718	26/29066	6.98942405514693e-09	4.10512172838963e-07	3.29606523863771e-07	AT3G12580/AT4G37910/AT3G13470/AT2G28000/AT5G49910/AT3G09440/AT5G18820/AT1G55490/AT4G24280	9
common	common	GO:0003735	structural constituent of ribosome	30/718	362/29066	9.45831328474667e-09	5.20798375241363e-07	4.18157008378274e-07	AT5G02870/AT1G61580/AT5G66860/AT3G17170/AT5G07090/AT3G10610/AT5G23900/AT3G04770/AT3G06680/AT2G05220/AT3G49910/AT1G27400/AT1G52300/AT3G11250/AT1G18540/AT2G47610/AT3G18740/AT3G53020/AT5G15260/AT3G44010/AT5G24490/AT4G39200/AT5G16130/AT2G36620/AT4G34670/AT2G33800/AT1G74970/AT2G33450/AT5G14320/AT3G63490	30
common	common	GO:0009416	response to light stimulus	22/718	210/29066	1.43077411901118e-08	7.41477646381674e-07	5.9534378202818e-07	AT2G42540/AT5G58070/AT5G25220/AT3G27690/AT1G07720/AT1G20620/AT4G25050/AT4G27670/AT5G11060/AT2G34430/AT1G58290/AT1G16880/AT3G19820/AT1G37130/AT1G55480/AT5G09810/AT1G79550/AT2G39730/AT5G59820/AT4G20130/AT1G29930/AT1G42970	22
common	common	GO:0042542	response to hydrogen peroxide	12/718	69/29066	1.14591974908592e-07	5.60864054969274e-06	4.50326357535518e-06	AT1G73260/AT3G12580/AT5G59720/AT1G53540/AT1G20620/AT4G27670/AT2G29500/AT1G17870/AT2G40300/AT5G64940/AT3G17790/AT3G48360	12
common	common	GO:0009523	photosystem II	8/718	29/29066	3.61625627302635e-07	1.67680093501906e-05	1.34632920524859e-05	AT3G27690/AT3G22840/AT2G34430/AT4G02530/AT3G21055/AT1G67740/AT1G55480/AT1G29930	8
common	common	GO:0009644	response to high light intensity	11/718	64/29066	4.3802184244788e-07	1.92948621598291e-05	1.54921409539461e-05	AT2G42540/AT5G58070/AT3G12580/AT5G59720/AT3G27690/AT4G27670/AT2G29500/AT1G17870/AT1G55480/AT3G18780/AT5G64940	11
common	common	GO:0006457	protein folding	21/718	238/29066	5.61433392725631e-07	2.35534675710134e-05	1.89114405970739e-05	AT3G12580/AT4G37910/AT5G59720/AT3G56070/AT1G53540/AT4G26780/AT5G20890/AT2G29500/AT2G04030/AT2G28000/AT5G49910/AT3G09440/AT2G21510/AT1G55490/AT1G56340/AT4G24280/AT2G35720/AT5G17710/AT3G54960/AT5G61790/AT4G33350	21
common	common	GO:0009631	cold acclimation	10/718	54/29066	7.13141816825687e-07	2.78590364492173e-05	2.23684479286385e-05	AT2G42540/AT5G66400/AT1G29395/AT4G12470/AT3G53460/AT1G56070/AT4G13850/AT4G36020/AT1G36160/AT5G59820	10
common	common	GO:0009737	response to abscisic acid	29/718	418/29066	7.27307421489213e-07	2.78590364492173e-05	2.23684479286385e-05	AT2G42540/AT5G66400/AT5G59320/AT2G39800/AT5G15970/AT4G23600/AT2G47770/AT5G25610/AT1G29395/AT3G11410/AT4G24960/AT3G53420/AT2G33590/AT1G08930/AT5G51760/AT4G04020/AT5G51110/AT2G46820/AT1G17840/AT1G12420/AT1G06190/AT2G18960/AT5G14920/AT4G34240/AT3G48360/AT2G26110/AT5G13680/AT3G46620/AT4G28080	29
common	common	GO:0022625	cytosolic large ribosomal subunit	16/718	148/29066	8.6525075682456e-07	3.17619131984349e-05	2.5502127569566e-05	AT5G02870/AT1G61580/AT5G66860/AT5G23900/AT3G06680/AT3G49910/AT1G27400/AT1G52300/AT3G11250/AT1G18540/AT2G47610/AT3G18740/AT3G53020/AT2G36620/AT2G33450/AT3G63490	16
common	common	GO:0009295	nucleoid	8/718	35/29066	1.73959153252255e-06	6.13032056060948e-05	4.92212846254803e-05	AT3G48500/AT1G69200/AT2G46820/AT1G31010/AT2G34640/AT1G14410/AT3G09210/AT4G20130	8
common	common	GO:0045037	protein import into chloroplast stroma	6/718	17/29066	2.18255390495782e-06	7.34729347600024e-05	5.89925469367604e-05	AT2G04030/AT5G50920/AT3G46740/AT3G48870/AT2G20890/AT1G06950	6
common	common	GO:0009658	chloroplast organization	16/718	159/29066	2.25172444780938e-06	7.34729347600024e-05	5.89925469367604e-05	AT4G27670/AT2G34620/AT2G28000/AT5G50920/AT3G46740/AT5G26742/AT1G69200/AT3G56940/AT3G48870/AT1G06950/AT5G24660/AT4G25910/AT1G62750/AT4G38160/AT5G23930/AT4G20130	16
common	common	GO:0009508	plastid chromosome	6/718	18/29066	3.20539984051126e-06	0.000100855616410372	8.09785222866002e-05	AT3G48500/AT2G46820/AT2G34640/AT1G14410/AT3G09210/AT4G20130	6
common	common	GO:0031969	chloroplast membrane	14/718	129/29066	3.9574514503991e-06	0.000120224645786262	9.65302132365952e-05	AT2G47770/AT5G58070/AT5G38430/AT1G15500/AT5G46110/AT1G58290/AT3G48870/AT1G17870/AT1G03630/AT1G55480/AT5G06130/AT5G64940/AT1G42970/AT4G12800	14
common	common	GO:0009505	plant-type cell wall	25/718	362/29066	4.53619441381124e-06	0.00013321290928559	0.000106958689336181	AT5G64100/AT5G44130/AT2G38530/AT2G38540/AT2G06850/AT3G14067/AT4G21650/AT1G28290/AT3G18080/AT1G04040/AT3G03060/AT3G43270/AT3G22640/AT4G13340/AT3G21770/AT3G24480/AT1G27450/AT1G03220/AT1G03230/AT4G16563/AT5G51890/AT5G47500/AT3G61820/AT1G30870/AT5G61790	25
common	common	GO:0006979	response to oxidative stress	22/718	294/29066	4.72262983059627e-06	0.000134214092927591	0.000107762555047901	AT2G39800/AT5G64100/AT5G24770/AT4G21850/AT1G02930/AT1G73120/AT3G22200/AT5G19890/AT2G29500/AT2G07698/AT3G21770/AT3G53260/AT1G56340/AT5G51890/AT4G09010/AT5G64940/AT4G21860/AT5G13680/AT1G30870/AT5G59820/AT4G11280/AT3G01090	22
common	common	GO:0032040	small-subunit processome	8/718	42/29066	7.49008910870906e-06	0.000206211515774146	0.000165570390824095	AT4G25630/AT5G14050/AT3G10530/AT1G15440/AT3G21540/AT4G04940/AT3G57000/AT5G16130	8
common	common	GO:0010287	plastoglobule	10/718	70/29066	8.2878936990079e-06	0.00022126164693412	0.000177654372112705	AT4G22240/AT3G27690/AT2G34430/AT5G42650/AT4G04020/AT3G50820/AT2G39730/AT3G26060/AT4G02770/AT4G12800	10
common	common	GO:0045036	protein targeting to chloroplast	6/718	21/29066	8.79477837003488e-06	0.000227888227764727	0.000182974955562336	AT5G50920/AT5G49910/AT3G46740/AT2G24820/AT4G24280/AT1G02280	6
common	common	GO:0009536	plastid	22/718	310/29066	1.09420671247275e-05	0.000275427461053855	0.00022114493557344	AT2G35040/AT1G15500/AT5G43970/AT2G04030/AT5G50920/AT4G32400/AT2G29630/AT3G46740/AT5G53460/AT3G48870/AT1G06950/AT5G26570/AT3G01280/AT2G35720/AT3G52230/AT4G34240/AT1G70200/AT5G13420/AT5G20720/AT5G23890/AT4G33350/AT5G09650	22
common	common	GO:0010319	stromule	7/718	33/29066	1.33053727436327e-05	0.000318460751108699	0.00025569702460726	AT2G35040/AT4G04020/AT1G16880/AT2G20890/AT1G55490/AT2G39730/AT1G42970	7
common	common	GO:0003746	translation elongation factor activity	9/718	59/29066	1.35779305754176e-05	0.000318460751108699	0.00025569702460726	AT1G07930/AT4G02930/AT1G56070/AT3G17170/AT1G07920/AT1G57720/AT5G13650/AT1G62750/AT3G08740	9
common	common	GO:0019843	rRNA binding	10/718	74/29066	1.37361050421459e-05	0.000318460751108699	0.00025569702460726	AT3G17170/AT5G07090/AT1G52300/AT3G57000/AT1G06190/AT1G70200/AT2G33800/AT1G74970/AT5G14320/AT3G63490	10
common	common	GO:0006397	mRNA processing	15/718	164/29066	1.48341456333263e-05	0.000335099546229756	0.000269056568572072	AT3G53460/AT5G61030/AT4G20020/AT5G14580/AT5G54900/AT1G65660/AT4G04885/AT3G03710/AT5G64960/AT5G60870/AT1G74230/AT3G52380/AT2G40650/AT5G56130/AT2G02570	15
