Cluster	group	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
common	common	GO:0046686	response to cadmium ion	42/718	340/29066	1.03933352648178e-17	2.28913209207612e-15	1.8379792889362e-15	AT5G14780/AT4G23670/AT3G12580/AT4G37910/AT4G02930/AT1G13930/AT1G02930/AT3G56070/AT3G22200/AT1G09780/AT2G33590/AT1G07920/AT1G20620/AT4G09320/AT5G11670/AT4G33010/AT5G49910/AT3G09440/AT2G19480/AT5G53460/AT1G57720/AT3G55440/AT1G56340/AT1G07440/AT1G27450/AT1G54270/AT2G17630/AT3G16640/AT4G24280/AT2G41530/AT5G59780/AT5G13420/AT1G78870/AT1G70730/AT5G20720/AT2G33800/AT5G64940/AT2G21660/AT5G64250/AT5G09650/AT4G37870/AT1G42970	42
common	common	GO:0003729	mRNA binding	43/718	391/29066	3.14799282201961e-16	5.54676335239856e-14	4.45358142399406e-14	AT5G64100/AT5G02870/AT1G07930/AT3G53460/AT5G61030/AT3G53420/AT2G24050/AT1G56070/AT5G66860/AT5G07090/AT1G20620/AT5G54900/AT4G31580/AT3G49910/AT5G39570/AT4G13850/AT3G18740/AT4G36020/AT3G53020/AT3G58510/AT3G13460/AT5G26742/AT3G45780/AT2G23930/AT1G29250/AT5G16130/AT3G62250/AT1G02150/AT2G21530/AT4G34670/AT1G49600/AT1G54270/AT1G51510/AT4G04885/AT4G11420/AT1G20970/AT1G14410/AT2G21660/AT3G16400/AT1G74230/AT4G27500/AT3G52380/AT4G27000	43
common	common	GO:0051082	unfolded protein binding	21/718	125/29066	4.27025723672935e-12	6.2701610425976e-10	5.03440853172303e-10	AT3G12580/AT4G37910/AT5G59720/AT3G56070/AT3G13470/AT1G53540/AT4G26780/AT5G20890/AT2G29500/AT2G04030/AT2G28000/AT5G49910/AT3G09440/AT5G18820/AT1G55490/AT1G56340/AT1G71840/AT4G24280/AT5G20720/AT5G17710/AT5G61790	21
common	common	GO:0009409	response to cold	33/718	329/29066	1.17258124239737e-11	1.47577724936012e-09	1.18492420284366e-09	AT2G42540/AT5G15970/AT3G11410/AT5G58070/AT4G24960/AT3G53460/AT2G35040/AT5G61030/AT3G22310/AT1G09780/AT3G27690/AT1G56070/AT3G22840/AT1G07720/AT1G20620/AT3G49910/AT4G13850/AT4G36020/AT1G33410/AT4G04020/AT1G16880/AT1G55490/AT3G16450/AT4G24280/AT2G40300/AT1G70200/AT2G39730/AT5G20720/AT2G33800/AT3G48360/AT2G21660/AT5G59820/AT1G42970	33
common	common	GO:0009414	response to water deprivation	31/718	298/29066	1.94421866158496e-11	2.14107080107043e-09	1.71909860603301e-09	AT2G42540/AT5G66400/AT5G59320/AT2G39800/AT5G15970/AT3G11410/AT3G45140/AT5G58070/AT2G38530/AT4G24960/AT1G02930/AT3G22310/AT3G53420/AT2G33590/AT1G08930/AT2G04030/AT4G13850/AT4G36020/AT3G61430/AT3G63520/AT5G61590/AT4G39950/AT1G12110/AT2G47800/AT2G18960/AT4G23400/AT4G34240/AT5G64960/AT2G21660/AT1G74920/AT3G46620	31
common	common	GO:0015979	photosynthesis	18/718	112/29066	3.08939731798252e-10	2.7217590371426e-08	2.18534210282553e-08	AT5G54190/AT3G27690/AT3G22840/AT2G34430/AT4G01037/AT4G05390/AT3G56940/AT5G13630/AT1G03630/AT3G21055/AT1G67740/AT2G40300/AT1G55480/AT4G30720/AT4G02770/AT4G27600/AT1G29930/AT4G12800	18
common	common	GO:0009735	response to cytokinin	23/718	203/29066	1.47263477583275e-09	1.08115936459055e-07	8.68079446806676e-08	AT5G02870/AT5G58070/AT4G37910/AT1G13930/AT1G56070/AT4G25050/AT1G18540/AT2G07698/AT3G22640/AT5G50920/AT3G46740/AT5G53460/AT1G16880/AT1G36160/AT3G55440/AT1G49600/AT4G02530/AT3G16640/AT2G40300/AT3G18780/AT3G14420/AT2G21660/AT4G32260	23
common	common	GO:0009611	response to wounding	23/718	204/29066	1.62181008273877e-09	1.09908821760989e-07	8.82474798057046e-08	AT4G23600/AT1G73260/AT5G14780/AT3G45140/AT4G22880/AT5G24770/AT3G44260/AT3G44550/AT5G63450/AT5G42650/AT3G13790/AT3G53260/AT5G12140/AT1G76650/AT1G17840/AT2G47800/AT1G55480/AT5G09810/AT3G48360/AT3G21240/AT5G59820/AT4G11280/AT2G46370	23
common	common	GO:0005507	copper ion binding	24/718	237/29066	6.2293533011115e-09	3.92004304162803e-07	3.1474627205616e-07	AT1G19570/AT4G23670/AT1G02930/AT5G07475/AT3G29250/AT5G61030/AT1G56070/AT5G15350/AT4G26780/AT4G05390/AT5G07130/AT4G13850/AT3G08580/AT1G57720/AT3G55440/AT4G27520/AT1G07610/AT5G44790/AT3G09220/AT5G20720/AT1G74230/AT2G32300/AT5G17710/AT3G61440	24
common	common	GO:0009737	response to abscisic acid	29/718	418/29066	7.27307421489213e-07	2.78590364492173e-05	2.23684479286385e-05	AT2G42540/AT5G66400/AT5G59320/AT2G39800/AT5G15970/AT4G23600/AT2G47770/AT5G25610/AT1G29395/AT3G11410/AT4G24960/AT3G53420/AT2G33590/AT1G08930/AT5G51760/AT4G04020/AT5G51110/AT2G46820/AT1G17840/AT1G12420/AT1G06190/AT2G18960/AT5G14920/AT4G34240/AT3G48360/AT2G26110/AT5G13680/AT3G46620/AT4G28080	29
