Cluster	group	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
aba_specific	aba_specific	GO:0003729	mRNA binding	76/1762	391/29066	1.07596251242297e-19	1.43425802905982e-16	1.16656988189017e-16	AT1G01080/AT1G08370/AT1G09570/AT1G10590/AT1G13020/AT1G14710/AT1G22780/AT1G26110/AT1G43190/AT1G49600/AT1G49760/AT1G55500/AT1G60000/AT1G70770/AT1G76010/AT1G76460/AT2G23930/AT2G25970/AT2G29190/AT2G29200/AT2G36480/AT2G38750/AT2G40290/AT2G45710/AT2G47850/AT3G02560/AT3G03950/AT3G04500/AT3G07110/AT3G07810/AT3G13224/AT3G13300/AT3G13460/AT3G13580/AT3G14010/AT3G17330/AT3G23830/AT3G26400/AT3G26420/AT3G26560/AT3G45780/AT3G48930/AT3G49390/AT3G50670/AT3G52380/AT3G53500/AT3G55460/AT3G57290/AT3G58510/AT3G60240/AT3G63140/AT4G03110/AT4G11420/AT4G16830/AT4G17390/AT4G25880/AT4G27000/AT4G34110/AT4G34670/AT4G35890/AT4G36020/AT4G39260/AT5G04430/AT5G19960/AT5G20250/AT5G42950/AT5G43960/AT5G47010/AT5G47210/AT5G50250/AT5G53180/AT5G57870/AT5G59950/AT5G60980/AT5G61140/AT5G64200	76
aba_specific	aba_specific	GO:0009535	chloroplast thylakoid membrane	65/1762	367/29066	5.55337735590222e-15	3.70132600770883e-12	3.01051509293647e-12	AT1G06690/AT1G06870/AT1G10970/AT1G12250/AT1G18730/AT1G22700/AT1G45474/AT1G54520/AT1G55480/AT1G56500/AT1G64770/AT1G68830/AT1G71500/AT1G74470/AT1G74640/AT1G75690/AT2G01110/AT2G10940/AT2G18710/AT2G24020/AT2G26500/AT2G29080/AT2G30440/AT3G14110/AT3G15110/AT3G15520/AT3G15640/AT3G16000/AT3G17930/AT3G18890/AT3G25480/AT3G27830/AT3G46780/AT3G47060/AT3G51820/AT3G52230/AT3G52300/AT3G52380/AT3G53560/AT3G55250/AT3G56090/AT3G56690/AT4G01050/AT4G02530/AT4G04850/AT4G13010/AT4G14690/AT4G15510/AT4G23890/AT4G35760/AT4G38100/AT4G38460/AT5G01600/AT5G04740/AT5G08540/AT5G13120/AT5G13800/AT5G14910/AT5G16620/AT5G17170/AT5G21430/AT5G23120/AT5G23890/AT5G43750/AT5G50250	65
aba_specific	aba_specific	GO:0046686	response to cadmium ion	60/1762	340/29066	7.28044947665872e-14	2.52226810927804e-11	2.05151510447853e-11	AT1G07810/AT1G13930/AT1G18080/AT1G29150/AT1G48420/AT1G49010/AT1G49760/AT1G49950/AT1G52760/AT1G60710/AT1G68560/AT1G74560/AT1G74840/AT1G74910/AT1G75280/AT1G77510/AT2G01140/AT2G17420/AT2G19480/AT2G21250/AT2G24200/AT2G32240/AT2G44060/AT2G45030/AT2G46280/AT3G02530/AT3G06050/AT3G09440/AT3G11830/AT3G13860/AT3G14930/AT3G18190/AT3G22110/AT3G22890/AT3G25800/AT3G48000/AT3G54470/AT3G56070/AT3G57610/AT4G08500/AT4G09320/AT4G13780/AT4G26970/AT4G29040/AT4G37910/AT5G02490/AT5G02790/AT5G11670/AT5G17330/AT5G20830/AT5G23120/AT5G27470/AT5G51830/AT5G52920/AT5G56680/AT5G58270/AT5G60160/AT5G63840/AT5G64940/AT5G65750	60
aba_specific	aba_specific	GO:0005730	nucleolus	68/1762	416/29066	7.56869650195961e-14	2.52226810927804e-11	2.05151510447853e-11	AT1G02870/AT1G09760/AT1G16810/AT1G20960/AT1G26880/AT1G45000/AT1G49950/AT1G55310/AT1G72440/AT1G79150/AT2G15430/AT2G27040/AT2G27100/AT2G27840/AT2G33370/AT2G36620/AT2G37990/AT2G40430/AT2G45710/AT2G46230/AT2G47610/AT2G47640/AT3G04230/AT3G05060/AT3G06700/AT3G07110/AT3G11964/AT3G16950/AT3G18035/AT3G18130/AT3G18600/AT3G22660/AT3G23620/AT3G44530/AT3G49600/AT3G52300/AT3G57150/AT3G58500/AT3G58510/AT3G61620/AT3G62310/AT4G00238/AT4G10710/AT4G16143/AT4G17390/AT4G18040/AT4G19610/AT4G25340/AT4G25630/AT4G26600/AT4G30220/AT4G32720/AT4G34670/AT4G39260/AT5G08180/AT5G11240/AT5G14520/AT5G15550/AT5G16780/AT5G22330/AT5G22880/AT5G26180/AT5G27120/AT5G40770/AT5G59870/AT5G59950/AT5G61770/AT5G66680	68
aba_specific	aba_specific	GO:0009536	plastid	52/1762	310/29066	2.40090072971881e-11	6.40080134543035e-09	5.20616368760079e-09	AT1G06950/AT1G10510/AT1G14810/AT1G15500/AT1G32200/AT1G48460/AT1G51080/AT1G52720/AT1G55160/AT1G74960/AT2G01140/AT2G02500/AT2G14750/AT2G16570/AT2G16640/AT2G21280/AT2G26140/AT2G29630/AT2G38550/AT2G43710/AT2G44530/AT3G02040/AT3G06510/AT3G08640/AT3G19680/AT3G23940/AT3G29200/AT3G46980/AT3G48870/AT3G52230/AT3G53560/AT3G57610/AT4G00630/AT4G01100/AT4G04610/AT4G24620/AT4G25650/AT4G35630/AT4G35760/AT4G36040/AT4G39030/AT5G01220/AT5G01590/AT5G05000/AT5G08540/AT5G16440/AT5G23890/AT5G24400/AT5G24690/AT5G26570/AT5G56940/AT5G64290	52
aba_specific	aba_specific	GO:0003743	translation initiation factor activity	28/1762	109/29066	4.49430097158809e-11	9.98483865854487e-09	8.12128070304514e-09	AT1G10840/AT1G13020/AT1G18070/AT1G49500/AT1G49760/AT1G65220/AT1G69410/AT1G77840/AT2G34750/AT2G39990/AT2G40290/AT2G46280/AT3G26400/AT3G43540/AT3G57290/AT3G60240/AT4G11175/AT4G11420/AT4G18040/AT4G27130/AT4G34110/AT5G05470/AT5G20920/AT5G27640/AT5G35620/AT5G43810/AT5G54940/AT5G57870	28
aba_specific	aba_specific	GO:0003735	structural constituent of ribosome	56/1762	362/29066	1.07480559074116e-10	2.04673693208281e-08	1.66473647889232e-08	AT1G04270/AT1G04480/AT1G05190/AT1G07070/AT1G16740/AT1G17560/AT1G22780/AT1G26740/AT1G26880/AT1G32990/AT1G77750/AT2G19740/AT2G20450/AT2G24090/AT2G33370/AT2G36620/AT2G43030/AT2G45710/AT2G47610/AT3G02560/AT3G04230/AT3G06700/AT3G07110/AT3G10090/AT3G10610/AT3G11250/AT3G13580/AT3G15190/AT3G27830/AT3G28900/AT3G43980/AT3G44590/AT3G45030/AT3G46040/AT3G48930/AT3G53430/AT3G57490/AT3G59540/AT4G00810/AT4G10450/AT4G16444/AT4G17390/AT4G17560/AT4G29410/AT4G34670/AT5G03850/AT5G06360/AT5G15220/AT5G15260/AT5G27700/AT5G39800/AT5G45775/AT5G47930/AT5G52370/AT5G56940/AT5G65220	56
aba_specific	aba_specific	GO:0009793	embryo development ending in seed dormancy	64/1762	449/29066	1.77653782990626e-10	2.9601561590813e-08	2.40767626947822e-08	AT1G05190/AT1G06220/AT1G10510/AT1G11680/AT1G20960/AT1G32490/AT1G34430/AT1G49510/AT1G55350/AT1G56200/AT1G60170/AT1G60870/AT1G73030/AT1G74960/AT1G78580/AT1G80410/AT2G04842/AT2G15890/AT2G19450/AT2G21470/AT2G26890/AT2G34260/AT2G34830/AT2G44060/AT3G05680/AT3G08640/AT3G12080/AT3G15030/AT3G18390/AT3G20070/AT3G20630/AT3G46560/AT3G48930/AT3G51840/AT3G55610/AT3G60830/AT4G00310/AT4G02570/AT4G09980/AT4G11150/AT4G19350/AT4G26500/AT4G32460/AT5G04560/AT5G07370/AT5G09900/AT5G10170/AT5G13010/AT5G18570/AT5G18700/AT5G18820/AT5G19820/AT5G20920/AT5G24400/AT5G27540/AT5G27720/AT5G37510/AT5G37630/AT5G45550/AT5G48160/AT5G55940/AT5G56680/AT5G61410/AT5G63420	64
aba_specific	aba_specific	GO:0006413	translational initiation	26/1762	103/29066	3.33252220637931e-10	4.93583566789292e-08	4.01461739481952e-08	AT1G10840/AT1G13020/AT1G18070/AT1G22780/AT1G49500/AT1G69410/AT1G77840/AT2G34750/AT2G39990/AT2G40290/AT2G46280/AT3G26400/AT3G43540/AT3G57290/AT3G60240/AT4G11175/AT4G11420/AT4G18040/AT4G27130/AT4G34110/AT5G05470/AT5G20920/AT5G27640/AT5G35620/AT5G54940/AT5G57870	26
aba_specific	aba_specific	GO:0022626	cytosolic ribosome	37/1762	194/29066	4.56041348288761e-10	6.07903117268919e-08	4.9444483024992e-08	AT1G01120/AT1G03090/AT1G04270/AT1G16470/AT1G18080/AT1G27390/AT1G32990/AT1G34430/AT1G48630/AT1G66200/AT2G19740/AT2G28000/AT2G45710/AT2G47610/AT3G02560/AT3G04230/AT3G07110/AT3G09440/AT3G10090/AT3G10610/AT3G11250/AT3G13580/AT3G18080/AT3G22110/AT3G28900/AT3G44590/AT3G46040/AT3G48930/AT3G52300/AT3G59410/AT4G00810/AT4G10450/AT4G11150/AT4G20850/AT4G34670/AT5G47930/AT5G55070	37
