Cluster	group	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
aba_specific	aba_specific	GO:0003729	mRNA binding	76/1762	391/29066	1.08E-19	1.43E-16	1.17E-16	AT1G01080/AT1G08370/AT1G09570/AT1G10590/AT1G13020/AT1G14710/AT1G22780/AT1G26110/AT1G43190/AT1G49600/AT1G49760/AT1G55500/AT1G60000/AT1G70770/AT1G76010/AT1G76460/AT2G23930/AT2G25970/AT2G29190/AT2G29200/AT2G36480/AT2G38750/AT2G40290/AT2G45710/AT2G47850/AT3G02560/AT3G03950/AT3G04500/AT3G07110/AT3G07810/AT3G13224/AT3G13300/AT3G13460/AT3G13580/AT3G14010/AT3G17330/AT3G23830/AT3G26400/AT3G26420/AT3G26560/AT3G45780/AT3G48930/AT3G49390/AT3G50670/AT3G52380/AT3G53500/AT3G55460/AT3G57290/AT3G58510/AT3G60240/AT3G63140/AT4G03110/AT4G11420/AT4G16830/AT4G17390/AT4G25880/AT4G27000/AT4G34110/AT4G34670/AT4G35890/AT4G36020/AT4G39260/AT5G04430/AT5G19960/AT5G20250/AT5G42950/AT5G43960/AT5G47010/AT5G47210/AT5G50250/AT5G53180/AT5G57870/AT5G59950/AT5G60980/AT5G61140/AT5G64200	76
aba_specific	aba_specific	GO:0046686	response to cadmium ion	60/1762	340/29066	7.28E-14	2.52E-11	2.05E-11	AT1G07810/AT1G13930/AT1G18080/AT1G29150/AT1G48420/AT1G49010/AT1G49760/AT1G49950/AT1G52760/AT1G60710/AT1G68560/AT1G74560/AT1G74840/AT1G74910/AT1G75280/AT1G77510/AT2G01140/AT2G17420/AT2G19480/AT2G21250/AT2G24200/AT2G32240/AT2G44060/AT2G45030/AT2G46280/AT3G02530/AT3G06050/AT3G09440/AT3G11830/AT3G13860/AT3G14930/AT3G18190/AT3G22110/AT3G22890/AT3G25800/AT3G48000/AT3G54470/AT3G56070/AT3G57610/AT4G08500/AT4G09320/AT4G13780/AT4G26970/AT4G29040/AT4G37910/AT5G02490/AT5G02790/AT5G11670/AT5G17330/AT5G20830/AT5G23120/AT5G27470/AT5G51830/AT5G52920/AT5G56680/AT5G58270/AT5G60160/AT5G63840/AT5G64940/AT5G65750	60
aba_specific	aba_specific	GO:0009793	embryo development ending in seed dormancy	64/1762	449/29066	1.78E-10	2.96E-08	2.41E-08	AT1G05190/AT1G06220/AT1G10510/AT1G11680/AT1G20960/AT1G32490/AT1G34430/AT1G49510/AT1G55350/AT1G56200/AT1G60170/AT1G60870/AT1G73030/AT1G74960/AT1G78580/AT1G80410/AT2G04842/AT2G15890/AT2G19450/AT2G21470/AT2G26890/AT2G34260/AT2G34830/AT2G44060/AT3G05680/AT3G08640/AT3G12080/AT3G15030/AT3G18390/AT3G20070/AT3G20630/AT3G46560/AT3G48930/AT3G51840/AT3G55610/AT3G60830/AT4G00310/AT4G02570/AT4G09980/AT4G11150/AT4G19350/AT4G26500/AT4G32460/AT5G04560/AT5G07370/AT5G09900/AT5G10170/AT5G13010/AT5G18570/AT5G18700/AT5G18820/AT5G19820/AT5G20920/AT5G24400/AT5G27540/AT5G27720/AT5G37510/AT5G37630/AT5G45550/AT5G48160/AT5G55940/AT5G56680/AT5G61410/AT5G63420	64
aba_specific	aba_specific	GO:0006413	translational initiation	26/1762	103/29066	3.33E-10	4.94E-08	4.01E-08	AT1G10840/AT1G13020/AT1G18070/AT1G22780/AT1G49500/AT1G69410/AT1G77840/AT2G34750/AT2G39990/AT2G40290/AT2G46280/AT3G26400/AT3G43540/AT3G57290/AT3G60240/AT4G11175/AT4G11420/AT4G18040/AT4G27130/AT4G34110/AT5G05470/AT5G20920/AT5G27640/AT5G35620/AT5G54940/AT5G57870	26
aba_specific	aba_specific	GO:0022626	cytosolic ribosome	37/1762	194/29066	4.56E-10	6.08E-08	4.94E-08	AT1G01120/AT1G03090/AT1G04270/AT1G16470/AT1G18080/AT1G27390/AT1G32990/AT1G34430/AT1G48630/AT1G66200/AT2G19740/AT2G28000/AT2G45710/AT2G47610/AT3G02560/AT3G04230/AT3G07110/AT3G09440/AT3G10090/AT3G10610/AT3G11250/AT3G13580/AT3G18080/AT3G22110/AT3G28900/AT3G44590/AT3G46040/AT3G48930/AT3G52300/AT3G59410/AT4G00810/AT4G10450/AT4G11150/AT4G20850/AT4G34670/AT5G47930/AT5G55070	37
aba_specific	aba_specific	GO:0042254	ribosome biogenesis	28/1762	122/29066	7.60E-10	9.21E-08	7.49E-08	AT1G07070/AT1G16740/AT1G18080/AT1G26880/AT1G32990/AT1G48630/AT2G19740/AT2G20450/AT2G36620/AT2G45710/AT3G05060/AT3G06700/AT3G10090/AT3G15190/AT3G28900/AT3G53430/AT3G59540/AT4G17560/AT4G29410/AT4G32720/AT4G34730/AT5G03850/AT5G06360/AT5G27120/AT5G27700/AT5G47930/AT5G56940/AT5G65220	28
aba_specific	aba_specific	GO:0009735	response to cytokinin	35/1762	203/29066	2.05E-08	2.28E-06	1.85E-06	AT1G05190/AT1G13930/AT1G15140/AT1G16350/AT1G47420/AT1G49600/AT1G69040/AT1G74030/AT1G78830/AT2G20270/AT2G29080/AT2G33210/AT2G40490/AT2G44060/AT3G02180/AT3G03100/AT3G07110/AT3G10520/AT3G22890/AT3G32980/AT3G48100/AT3G54640/AT3G56090/AT3G63140/AT4G02530/AT4G11150/AT4G20260/AT4G35630/AT4G37910/AT4G39260/AT5G01600/AT5G04430/AT5G14910/AT5G19370/AT5G23120	35
aba_specific	aba_specific	GO:0051082	unfolded protein binding	25/1762	125/29066	1.11E-07	1.13E-05	9.15E-06	AT1G08780/AT1G09210/AT1G29990/AT1G36390/AT1G55820/AT2G28000/AT2G29960/AT2G33210/AT3G02530/AT3G03960/AT3G09440/AT3G11830/AT3G13222/AT3G13860/AT3G18190/AT3G20050/AT3G56070/AT4G21870/AT4G37910/AT5G02490/AT5G13120/AT5G16070/AT5G18820/AT5G20890/AT5G48030	25
aba_specific	aba_specific	GO:0006417	regulation of translation	18/1762	72/29066	2.00E-07	1.78E-05	1.45E-05	AT1G18080/AT1G21760/AT1G43190/AT1G48630/AT1G49760/AT2G27040/AT2G29190/AT2G29200/AT3G60240/AT4G18040/AT4G25880/AT4G27130/AT5G05470/AT5G35620/AT5G43700/AT5G43810/AT5G53180/AT5G57870	18
aba_specific	aba_specific	GO:0006979	response to oxidative stress	40/1762	294/29066	1.49E-06	0.000104607	8.51E-05	AT1G05260/AT1G08830/AT1G09210/AT1G14870/AT1G32230/AT1G52760/AT1G53670/AT1G75280/AT2G01140/AT2G29450/AT2G35510/AT2G37130/AT2G47510/AT3G01090/AT3G01190/AT3G03100/AT3G06050/AT3G08670/AT3G11220/AT3G12490/AT3G21770/AT3G22380/AT3G32980/AT3G55460/AT4G02580/AT4G20830/AT4G21850/AT4G26970/AT4G32770/AT4G37530/AT5G05340/AT5G07460/AT5G17820/AT5G20250/AT5G37510/AT5G40390/AT5G43750/AT5G55070/AT5G59080/AT5G64940	40
