log2FC_TE_v1	pvalue_v1	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
AT1G78930	-0.395875750277948	0.531849152315703	-0.419868241514681	0.555000927983226	-0.419868241514681	0.555000927983226	0.808996972895748
AT1G71695	0.486491719076709	2.18826940186314e-07	0.486943791835771	1.12032999022374e-09	0.486491719076709	2.18826940186314e-07	8.37599570662468e-06
AT1G56250	0.922182857599914	0.49652726871196	0.826818289238759	0.595450558709213	0.826818289238759	0.595450558709213	0.831696101395498
AT1G69810	-0.522745965409295	0.201565974823606	-0.528234122334439	0.269365281016791	-0.528234122334439	0.269365281016791	0.573595197231197
AT1G72450	-0.55320250375844	0.0124290139564355	-0.551966636139085	0.00243582257615803	-0.55320250375844	0.0124290139564355	0.0799975057213404
AT1G76280	-0.742631682400699	0.0561705847651358	-0.747726932303559	0.0885743434923702	-0.747726932303559	0.0885743434923702	0.302057278363352
AT1G15210	-0.42272663117282	0.00209264475662649	-0.422619689112951	0.00264815596055212	-0.422619689112951	0.00264815596055212	0.0248799954265078
AT1G15250	0.0643565730618536	0.787014522771847	0.0652238511297956	0.740265077996846	0.0643565730618536	0.787014522771847	0.928547567695006
AT1G79700	0.581220460978929	0.0415949597361351	0.583245807269075	0.0755974601940312	0.583245807269075	0.0755974601940312	0.27423457017735
AT1G73360	-1.41608700471794	0.0149431588262976	-1.42084698162447	0.0204515201779333	-1.42084698162447	0.0204515201779333	0.11405851680235
AT1G16360	0.505796513805016	0.66044394724216	0.510768802478207	0.514636686066631	0.505796513805016	0.66044394724216	0.867696108475689
AT1G10225	-0.920135871829718	0.452672470308393	-0.838456839252373	0.507696502065082	-0.838456839252373	0.507696502065082	0.779261876130079
AT1G26670	-0.12506264603581	0.543221789000157	-0.124233474214648	0.566436496899459	-0.124233474214648	0.566436496899459	0.815735024064377
AT1G52200	-0.176874318229462	0.639612789509374	-0.178068414485979	0.600392326812165	-0.176874318229462	0.639612789509374	0.856890000327903
AT1G57800	-0.874024293859406	0.61500645914966	-0.906749936195922	0.619674412636115	-0.906749936195922	0.619674412636115	0.84563097262873
AT1G69460	0.623523566702991	4.01905236579504e-05	0.624611110792188	1.29927588374757e-05	0.623523566702991	4.01905236579504e-05	0.00080201333592227
AT1G04310	-0.342861302096277	0.132709618331288	-0.342118145486947	0.206606012927144	-0.342118145486947	0.206606012927144	0.495791952856199
AT1G75550	-0.161399572241785	0.691967947805427	-0.15910246706953	0.612910004322897	-0.161399572241785	0.691967947805427	0.88415879887419
AT1G71890	-0.0589425406148658	0.841709938039409	-0.0574473220739704	0.817097446129629	-0.0589425406148658	0.841709938039409	0.951241228393775
AT1G05430	0.0417654175601556	0.855598954297445	0.0417654172300059	0.872825970259563	0.0417654172300059	0.872825970259563	0.96166478699045
AT1G80870	-0.556446220147893	0.0187579401618764	-0.556734154913523	0.0221242697271491	-0.556734154913523	0.0221242697271491	0.120604772488172
AT1G75310	-0.57365417755356	0.00248836283739003	-0.573331250550343	0.00498994192167721	-0.573331250550343	0.00498994192167721	0.0404719122569408
AT1G02010	-1.37276947385236	0.0745228631305829	-1.41345274007182	0.126226394744373	-1.41345274007182	0.126226394744373	0.371356198562875
AT1G47900	-0.139791523321779	0.374491047151855	-0.139437621536066	0.394785357852013	-0.139437621536066	0.394785357852013	0.695683863123229
AT1G26760	-0.228355355632237	0.562310908373268	-0.227079567861851	0.519610576148105	-0.228355355632237	0.562310908373268	0.81313329382263
AT1G24575	-0.32188129886929	0.658633839417994	-0.272874233106226	0.672840125552472	-0.272874233106226	0.672840125552472	0.874859534720011
AT1G12790	-0.141150615055526	0.869947311343015	-0.142303202031723	0.875647180509153	-0.142303202031723	0.875647180509153	0.962901860341001
AT1G04850	0.112454688404882	0.372927740909905	0.112847759392705	0.259675397817774	0.112454688404882	0.372927740909905	0.677844424294492
AT1G31760	-1.73547783670161	0.0161427809383053	-1.72686824320077	2.70669679239202e-07	-1.73547783670161	0.0161427809383053	0.0965812451263142
AT1G33250	-0.102896184293724	0.780530370755461	-0.108268103413051	0.814261469026069	-0.108268103413051	0.814261469026069	0.940705225838117
AT1G74000	0.517549087795891	0.0576076744422368	0.519129079247931	0.0170328362060578	0.517549087795891	0.0576076744422368	0.230674450586432
AT1G55580	-0.528039526776066	0.550726414415468	-0.546092169969828	0.570059431476964	-0.546092169969828	0.570059431476964	0.817459198639802
AT1G19715	0.109119209111143	0.587114930976804	0.109670313173919	0.658802560780038	0.109670313173919	0.658802560780038	0.86738950539606
AT1G69430	0.845057238725916	0.277057084104878	0.608432947532293	0.5745879840425	0.608432947532293	0.5745879840425	0.820257177639227
AT1G53340	-1.45813349728049	0.0811083279141145	-1.49794608186521	0.112602093314403	-1.49794608186521	0.112602093314403	0.348197591231751
AT1G29890	0.153332215446066	0.386565990720035	0.154257658450186	0.40221944017486	0.154257658450186	0.40221944017486	0.703230427145717
AT1G80290	-1.08272818033749	0.018430781877417	-1.08672406835645	0.0313569577519667	-1.08672406835645	0.0313569577519667	0.153931305604405
AT1G56540	1.50825463349706	0.174732512235132	1.50903973023714	0.220864101210621	1.50903973023714	0.220864101210621	0.515927610203635
AT1G48650	-0.219146649382431	0.121120194397441	-0.218503046712743	0.119004023071816	-0.219146649382431	0.121120194397441	0.363157144172874
AT1G07030	0.104639407796185	0.719547183193201	0.102937951700703	0.776666970243765	0.102937951700703	0.776666970243765	0.924448846924081
AT1G10120	-0.392452205173823	0.0669823093409889	-0.391918377693986	0.0976996134304194	-0.391918377693986	0.0976996134304194	0.320154068671012
AT1G43650	0.538865088729624	0.232646790105794	0.54171139730385	0.193671137892255	0.538865088729624	0.232646790105794	0.529836739795567
AT1G09960	-0.115448600870052	0.689485200925179	-0.114757292361003	0.695249393103489	-0.114757292361003	0.695249393103489	0.885935299391744
AT1G53625	0.940396051731938	0.457364789214388	1.16115338376053	0.164184724451259	0.940396051731938	0.457364789214388	0.745956936455917
AT1G63360	-0.0964875773513914	0.707343279354938	-0.097214634218953	0.73302467009683	-0.097214634218953	0.73302467009683	0.903798244833767
