log2FC_TE_v1	pvalue_v1	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
AT1G78930	0.162100087284863	0.674024560396188	0.168941998557489	0.747074076430156	0.168941998557489	0.747074076430156	0.916869015810161
AT1G71695	-0.355168045943594	5.8478918776212e-05	-0.354737016290095	5.18744303762746e-05	-0.355168045943594	5.8478918776212e-05	0.00136154627496983
AT1G12980	-0.295596798140302	0.85293722894782	-0.586808821387372	0.717588372362169	-0.295596798140302	0.85293722894782	0.958227348940696
AT1G56250	-0.0258155470671149	0.990329913285964	-0.499379580131013	0.750049794583574	-0.0258155470671149	0.990329913285964	0.999523199129115
AT1G69810	0.0443790527354531	0.882118512458588	0.0480504760843612	0.904772374011167	0.0480504760843612	0.904772374011167	0.975915940034854
AT1G72450	-0.146382255322296	0.417810117310341	-0.144878020169695	0.334044242181992	-0.146382255322296	0.417810117310341	0.727525888230746
AT1G76280	0.7265139248695	0.0104063402812932	0.732312471283945	0.0449516157589028	0.732312471283945	0.0449516157589028	0.215460375534974
AT1G15210	-0.0108487436752207	0.920765337918734	-0.010182322583647	0.932589752855889	-0.010182322583647	0.932589752855889	0.984036767839401
AT1G15250	-0.0547358884674827	0.738840756999306	-0.0536980985156824	0.722101308075115	-0.0547358884674827	0.738840756999306	0.91353485631162
AT1G79700	-0.915765283658527	0.0016993809512797	-0.912069726608942	0.00732870388619454	-0.912069726608942	0.00732870388619454	0.0618031099481261
AT1G73360	0.897189852578495	0.0289289870548506	0.905626815630465	0.0786358859328679	0.905626815630465	0.0786358859328679	0.305082543127576
AT1G16360	1.41728215272342	0.152047617544323	1.18311741712047	0.19266716455503	1.18311741712047	0.19266716455503	0.504631223235628
AT1G10225	0.685275626844643	0.79944699131281	-0.119962486231813	0.967150834045529	-0.119962486231813	0.967150834045529	0.993292025674946
AT1G26670	-0.039850303544783	0.841254300031759	-0.0377477414619904	0.863237596431844	-0.0377477414619904	0.863237596431844	0.961521988870033
AT1G52200	0.60842730699673	0.0184165038309213	0.610442272467862	0.0259652528000122	0.610442272467862	0.0259652528000122	0.150470581089956
AT1G57800	0.228904441858816	0.932219770042199	0.350358134231463	0.831305788148466	0.228904441858816	0.932219770042199	0.983910648749474
AT1G69460	-0.685456627214569	8.67872591179263e-07	-0.684719579329855	2.76690336004662e-06	-0.684719579329855	2.76690336004662e-06	9.64609853933711e-05
AT1G04310	0.0664348381557467	0.783363189283518	0.0686749737047148	0.818366061921855	0.0686749737047148	0.818366061921855	0.944727225870348
AT1G75550	-0.00184040796264995	0.984333709891141	-0.000540165963326511	0.998855783023822	-0.000540165963326511	0.998855783023822	0.999974773410323
AT1G71890	-0.152138710488527	0.50267310722359	-0.151898328604734	0.454580871704729	-0.152138710488527	0.50267310722359	0.787326009942068
AT1G05430	-0.0357866223727856	0.865749069607642	-0.0342473691967524	0.889715881443045	-0.0342473691967524	0.889715881443045	0.970643257321435
AT1G80870	0.113558990375388	0.562171447192642	0.115119651491326	0.579713253488385	0.115119651491326	0.579713253488385	0.833015633958869
AT1G75310	0.42331550142251	0.010671948285146	0.425002170574067	0.0342682942040035	0.425002170574067	0.0342682942040035	0.180731422500144
AT1G02010	0.793074653758538	0.129923085041143	0.823091022233676	0.322972536136204	0.823091022233676	0.322972536136204	0.646173898968051
AT1G47900	0.201474230284309	0.1311472279024	0.202378094743782	0.16409273069343	0.202378094743782	0.16409273069343	0.461988464266775
AT1G26760	0.54706783069027	0.0908491968229829	0.550308695335958	0.0701629444538655	0.54706783069027	0.0908491968229829	0.331821151810773
AT1G24575	-1.21628264257566	0.161732302493806	-1.14114135307419	0.0323984489184768	-1.21628264257566	0.161732302493806	0.458374141959078
AT1G12790	0.964920424176459	0.210080800237487	1.00637266049504	0.341505695919147	1.00637266049504	0.341505695919147	0.663574470778903
AT1G04850	0.0135631128042748	0.911986503852002	0.0138960831404726	0.876798828579107	0.0135631128042748	0.911986503852002	0.978199425993951
AT1G31760	1.38641965928057	0.0831686832724507	1.38506913375317	1.39606878529493e-05	1.38641965928057	0.0831686832724507	0.314881318185507
AT1G33250	0.307739614026846	0.344845128750437	0.316292880550774	0.517504297683595	0.316292880550774	0.517504297683595	0.795266069525897
AT1G74000	-0.556699681297817	0.0908263625425888	-0.555447915514807	0.0214299920256111	-0.556699681297817	0.0908263625425888	0.331809413408498
AT1G55580	1.13526860008447	0.115338920125668	1.17738168903196	0.221183636266724	1.17738168903196	0.221183636266724	0.538971516036037
AT1G19715	0.117727808851203	0.527914655041384	0.119519999381202	0.63500136428333	0.119519999381202	0.63500136428333	0.864749696112915
AT1G53340	1.19900631470829	0.0361204838303761	1.23205024254252	0.135087791848003	1.23205024254252	0.135087791848003	0.414215904579073
AT1G29890	0.0382100540467067	0.819156096432627	0.039583108699389	0.830105882997359	0.039583108699389	0.830105882997359	0.949667430482775
AT1G80290	0.640643679142476	0.0696691822560134	0.64375262355964	0.14383073133266	0.64375262355964	0.14383073133266	0.429895726750861
AT1G56540	-0.82379087971216	0.475333514301358	-1.1472050532385	0.372691076609597	-0.82379087971216	0.475333514301358	0.77034660795236
AT1G48650	0.131286728296871	0.235725926047281	0.13191373322632	0.261336315248354	0.13191373322632	0.261336315248354	0.585032269933659
AT1G07030	0.196627540138893	0.433292376253955	0.19829425747065	0.548530792065856	0.19829425747065	0.548530792065856	0.813664625045299
AT1G10120	0.128157448969423	0.513516654992348	0.130030456336553	0.578561256370375	0.130030456336553	0.578561256370375	0.832309549395576
AT1G43650	-0.854420402879192	0.0428791163855202	-0.851676829715985	0.0171588373663418	-0.854420402879192	0.0428791163855202	0.208612230763618
AT1G09960	0.414081969811567	0.142857205985838	0.417292566655602	0.181368150310376	0.417292566655602	0.181368150310376	0.48808752873393
AT1G53625	-0.828627339056354	0.358142403473266	-0.817504622684063	0.224572939228766	-0.828627339056354	0.358142403473266	0.677131167910624
AT1G63360	0.104670651140687	0.616906092666111	0.106897971705021	0.681537577211574	0.106897971705021	0.681537577211574	0.887337944752707
AT1G33330	0.830680165639491	0.0127648628859715	0.841338201446437	0.0956310541486781	0.841338201446437	0.0956310541486781	0.342269046687879
AT1G63430	-0.00322228397754021	0.988365290151424	-0.00200132117691076	0.99421800700475	-0.00200132117691076	0.99421800700475	0.999974773410323
AT1G80720	0.112020441362033	0.786220699631461	0.116769507183179	0.804025722283457	0.116769507183179	0.804025722283457	0.940035278427699
AT1G69770	-0.252358042076408	0.127870571926891	-0.25126241970012	0.149913977626351	-0.25126241970012	0.149913977626351	0.440795223161539
AT1G08460	0.0780157528205305	0.78703270333637	0.0814122130525563	0.818275297218685	0.0814122130525563	0.818275297218685	0.944727225870348
AT1G08610	0.128656460371535	0.584846101000766	0.129925690855554	0.650156708983719	0.129925690855554	0.650156708983719	0.872362725120905
AT1G27380	-2.10050989639792	0.012255094836408	-2.0825468343308	0.0211112188499305	-2.0825468343308	0.0211112188499305	0.129880318396071
AT1G51440	-0.0276119836198347	0.969494793819432	-0.0134459556169411	0.987110004315033	-0.0134459556169411	0.987110004315033	0.998413374717916
AT1G21610	0.513890648700968	0.0106965127633235	0.51562192900875	0.0257626360930293	0.51562192900875	0.0257626360930293	0.149559479486317
AT1G79710	0.188947985659322	0.609145491339313	0.19570960553234	0.704270215871896	0.19570960553234	0.704270215871896	0.899019493062367
AT1G80840	0.428787017951518	0.125030086851167	0.437015283768334	0.27566835166849	0.437015283768334	0.27566835166849	0.599333073848554
AT1G49490	-0.54045097436722	0.0672150897307826	-0.538309166155039	0.0807485143463812	-0.538309166155039	0.0807485143463812	0.309158443920381
AT1G09795	0.209840736724584	0.142701162609217	0.210939540243751	0.125803624623544	0.209840736724584	0.142701162609217	0.428210565249621
AT1G48690	-0.288820208698041	0.665975232358386	-0.281582889719765	0.718604922765169	-0.281582889719765	0.718604922765169	0.905838036224123
AT1G49570	-0.0518734098712921	0.76548618335915	-0.0507608375206108	0.755850151221715	-0.0518734098712921	0.76548618335915	0.924674003083618
AT1G68470	-0.447646064602536	0.418160242916508	-0.434426675022152	0.49000859177809	-0.434426675022152	0.49000859177809	0.77999676547572
AT1G75580	0.213345902492294	0.663256529166856	0.210382757629054	0.704868402096213	0.210382757629054	0.704868402096213	0.899243364579243
AT1G59970	0.47235889370496	0.0384926675390309	0.474632306462742	0.0325566392281324	0.47235889370496	0.0384926675390309	0.195248796316147
AT1G30640	0.354658078685536	0.223548258926434	0.357486151653283	0.241815029088235	0.357486151653283	0.241815029088235	0.564073363227182
AT1G26440	0.76058585191127	0.0106565136352174	0.766754718576675	0.0487690283005443	0.766754718576675	0.0487690283005443	0.226507843612984
AT1G22070	-0.284632971062842	0.301299269960171	-0.282960653995607	0.426609598462744	-0.282960653995607	0.426609598462744	0.733413805254223
AT1G78180	-0.131374974414703	0.466628868401696	-0.130372389667054	0.526264444305017	-0.130372389667054	0.526264444305017	0.800478463702346
AT1G29880	-0.0903571519677789	0.211930395274278	-0.0900599362629999	0.143076332680338	-0.0903571519677789	0.211930395274278	0.528609226925761
AT1G53645	-0.0587543493948866	0.630451926231627	-0.058021728919219	0.619945175470748	-0.0587543493948866	0.630451926231627	0.861954850312669
AT1G06240	-0.71744660383226	0.0156008913673419	-0.71407774213576	0.0346281508822829	-0.71407774213576	0.0346281508822829	0.181933702196866
AT1G72330	0.264297872441743	0.2381089801433	0.265682586657608	0.296269654366047	0.265682586657608	0.296269654366047	0.621760511503731
AT1G20840	-0.118864273028173	0.203242686380017	-0.11838827975851	0.201129860660184	-0.118864273028173	0.203242686380017	0.518083937989467
AT1G45050	-0.401241968625152	0.24941750078667	-0.3976566405198	0.255227965526952	-0.3976566405198	0.255227965526952	0.578101431714364
AT1G52500	0.64088008074977	0.0137593976324458	0.642911512387528	0.0336934347456615	0.642911512387528	0.0336934347456615	0.17898965379308
AT1G10430	-0.336726620703868	0.0700640294882423	-0.335661403069392	0.0939898292204889	-0.335661403069392	0.0939898292204889	0.338599772954512
AT1G05670	1.04249097064972	0.0150088027554801	1.06229482595238	0.100471531854505	1.06229482595238	0.100471531854505	0.352167642130278
AT1G64110	0.475567061744597	0.14175309555711	0.478997497761918	0.14394394691382	0.478997497761918	0.14394394691382	0.430069528211228
AT1G65220	0.0851405589244655	0.477269451769848	0.0860955504915077	0.522509343654938	0.0860955504915077	0.522509343654938	0.797994452292912
AT1G13635	0.762218197787698	0.313201628123602	0.643564047381204	0.488973965537863	0.643564047381204	0.488973965537863	0.779230190753832
AT1G55730	0.505256797500572	0.0972747045551483	0.51003065400173	0.160219281442486	0.51003065400173	0.160219281442486	0.456019371673668
AT1G07310	0.312235068451757	0.0218920594989231	0.313146603153498	0.0175019363920368	0.312235068451757	0.0218920594989231	0.132946341049221
AT1G77230	-0.591280865069328	0.283549033423841	-0.584625522594919	0.356327632051101	-0.584625522594919	0.356327632051101	0.676157080037833
AT1G52400	-0.232251254883644	0.146021434157456	-0.23137601619103	0.0642068245853657	-0.232251254883644	0.146021434157456	0.433459331579883
AT1G16430	0.593535591973948	0.352824005325083	0.61599103882191	0.484623529230433	0.61599103882191	0.484623529230433	0.776238011692567
AT1G27752	-0.133550494101815	0.405170368791549	-0.132490569623714	0.41786201860135	-0.132490569623714	0.41786201860135	0.727525888230746
AT1G11190	0.367278119443764	0.523459048016978	0.38031053974195	0.45025065914918	0.367278119443764	0.523459048016978	0.798519447611638
AT1G26650	0.0605891526610254	0.789447751616067	0.0639799107929946	0.818000012693688	0.0639799107929946	0.818000012693688	0.944695387410384
AT1G34640	0.0420078829462902	0.884224716140078	0.042445393553961	0.811007768414839	0.0420078829462902	0.884224716140078	0.96863239821268
AT1G49430	-0.307593901842666	0.0178110161693466	-0.306879046162534	0.00179453447873596	-0.307593901842666	0.0178110161693466	0.115584490026091
AT1G74240	0.0462363209679504	0.904664517456695	0.0489936681906364	0.884954711212895	0.0462363209679504	0.904664517456695	0.975915800159739
AT1G01760	1.01770596003869	0.0723194208384418	1.04341740263871	0.201438315099713	1.04341740263871	0.201438315099713	0.515580884963878
AT1G47480	0.166935571226728	0.454607519405376	0.169024286500049	0.404801972154657	0.166935571226728	0.454607519405376	0.75537894881707
AT1G65820	-0.777454162497388	1.31401903648082e-06	-0.777105867179578	2.72466786148525e-13	-0.777454162497388	1.31401903648082e-06	5.07308872931959e-05
AT1G22900	0.268510651436071	0.487395151235038	0.272576976521735	0.473964768745902	0.268510651436071	0.487395151235038	0.778643683361063
AT1G76820	-0.497575879134679	0.57192963283746	-0.490962639549576	0.675139239215672	-0.490962639549576	0.675139239215672	0.883696257258767
AT1G52080	-0.718808774162452	0.0968547656524462	-0.716400407512117	0.157867079037813	-0.716400407512117	0.157867079037813	0.4523034624211
AT1G35180	-0.180005113295532	0.628060940361917	-0.176270924509715	0.650596884287674	-0.176270924509715	0.650596884287674	0.872597951670136
AT1G30070	0.498078389076433	0.0303955812068282	0.49916138556667	0.0208720154907001	0.498078389076433	0.0303955812068282	0.168017185043449
AT1G35210	2.26061744136458	5.66920550959847e-05	2.31155002167919	0.010333558664172	2.31155002167919	0.010333558664172	0.0786839191504962
AT1G10410	0.178449232268868	0.30651054888542	0.179697876521154	0.395499246261318	0.179697876521154	0.395499246261318	0.71064121123262
AT1G73740	-0.334556543407577	0.292947661918352	-0.330854296229921	0.403624136357668	-0.330854296229921	0.403624136357668	0.716647651431062
