gene	Mock.Col0.rna	ABA.Col0.rna	Mock.g7g8.rna	ABA.g7g8.rna	Mock_Col0.ribo	ABA_Col0.ribo	Mock_g7g8.ribo	ABA_g7g8.ribo
AT1G30814	0	0	0	0	0	0	0	0
AT1G78930	3.989370914	1.576134647	3.288890308	1.653437461	1.286255415	0.635567556	1.298943693	0.45294512
AT1G71695	104.0129539	121.9254354	104.6316852	119.6583393	80.30029812	85.95792157	71.50626547	102.7189674
AT1G58983	0	0	0	0	0	0	0	0
AT1G12980	0.171304281	0.28994396	0.138553969	0.209605089	0.327271073	0.155123978	0.1737669	0
AT1G45223	0	0	0	0	0	0	0	0
AT1G56250	0.4608511	0.156432224	1.795446196	0.417205958	0.163775828	0.706840449	0.672867288	0.088281987
AT1G66852	0	0	0	0	0	0	0	0
AT1G69810	6.284559851	7.02705035	5.774917286	5.904186759	2.318208916	2.161894593	2.536873482	1.601924357
AT1G72450	6.33020479	3.222866431	8.005449977	5.69709006	14.06972927	10.02812972	18.13042585	7.914701081
AT1G76280	6.978547218	4.981416573	5.221083549	4.072976992	1.547314665	0.846984416	2.157923816	0.899470912
AT1G65630	0	0	0.158158846	0	0.124076986	0	0	0
AT1G71390	0	0	0	0	0	0	0	0
AT1G56233	0	0	0	0	0	0	0	0
AT1G15210	15.3447654	10.11259354	15.50529233	13.47341859	11.05753489	8.384282927	12.51145842	7.28014642
AT1G15250	30.80380071	12.58104296	28.07887474	16.35302099	52.77571285	18.27046995	52.21607963	28.48420021
AT1G79700	5.169113909	8.338041059	7.799712523	9.032915025	4.637443822	5.137029008	4.198216989	6.507285255
AT1G62895	0	0	0	0	0	0	0	0
AT1G73360	1.748263925	1.449879579	1.272256458	1.178390921	0.764510631	0.745270908	1.147823894	0.359148581
AT1G16360	0.284714292	0.14781251	0.324076473	0.193677517	0.275581297	1.287931508	0.999339655	0.766065775
AT1G10225	0.235099902	2.079383499	0.300568552	1.040841886	0.204205208	0.677688918	0.67005592	1.275392204
AT1G26670	15.25304346	15.47551176	15.08066889	20.88146559	12.84062551	14.02869717	13.97594586	15.90327863
AT1G34855	0	0	0	0	0	0	0	0
AT1G52200	4.859407703	1.676864712	4.450300352	1.938153211	4.877819956	1.900724288	7.643397234	2.683540096
AT1G57800	0.099313069	0.139145705	0.056390603	0.123063736	0.13486349	0	0.124628276	0.106238482
AT1G69460	35.14150706	44.12214907	41.7522828	44.09518302	35.25729184	45.55148443	29.38534244	42.89767259
AT1G04310	7.533245515	11.22841479	6.741425458	14.93036301	3.865573329	8.631499982	3.995295588	6.417267078
AT1G08080	0.044494049	0	0	0	0.215861842	0	0.500132986	0
AT1G75550	4.040471134	2.402557643	2.938008343	2.145446753	11.8200632	5.264554888	9.583718664	5.658194077
AT1G71890	6.307429442	3.42803075	4.552636957	2.690045065	13.02479898	9.023070737	9.462987284	4.854456584
AT1G05430	20.15964999	19.77196159	20.67734064	19.65431817	13.21320443	13.71188419	14.75269649	13.00200749
