mRNA_log2FC	RPF_log2FC	log2FC_TE_v1	pvalue_v1	control_log2TE	treat_log2TE	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
AT5G18500	-0.171245167254757	2.84561363191193	3.01640862023803	1.16962575709609e-106	-0.655396582323741	2.3614622236966	3.01711657637116	1.33186118525667e-164	3.01640862023803	1.16962575709609e-106	2.29761283723956e-102
AT3G13080	-0.219461590348526	1.86331602332328	2.08245070784082	2.62768257548496e-95	1.09610024517541	3.1788778867737	2.08280241607156	7.740880966622e-279	2.08245070784082	2.62768257548496e-95	2.58090982564133e-91
AT1G79950	-0.406105314459638	2.86118077224326	3.26695352443328	1.68109216544141e-72	0.373832396461642	3.64111852408761	3.26781842631753	3.35282574583963e-173	3.26695352443328	1.68109216544141e-72	1.10077914993103e-68
AT5G51760	4.91763528569958	0.320441217011574	-4.59837684205792	6.92718556214997e-61	9.17217786501699	4.57498538296919	-4.59761522222762	0	-4.59837684205792	6.92718556214997e-61	3.40194082957185e-57
AT1G29920	-0.167213972937372	-1.16459702786623	-0.997890616523041	7.35309764783055e-58	-1.91363290258702	-2.91101590958811	-0.997393074703113	1.95393123788565e-158	-0.997890616523041	7.35309764783055e-58	2.88888500387967e-54
AT4G24770	-0.082114886264202	-1.03157218138368	-0.949745613248617	1.21572263651678e-55	0.960193577225201	0.0107363150650855	-0.94948063473545	1.2366566153073e-147	-0.949745613248617	1.21572263651678e-55	3.98027591195593e-52
AT1G29560	-0.0360924060577924	9.05095511939942	9.08747097328811	1.479150606779e-54	1.38969978613467	10.4767468979673	9.08724553429883	0	9.08747097328811	1.479150606779e-54	4.15091921708096e-51
AT4G33500	0.298821990175142	2.50379462518932	2.20441038949919	9.61728086950185e-48	-0.648065445697329	1.55690718073552	2.20577730623195	3.10755435054911e-46	2.20577730623195	3.10755435054911e-46	7.63059970777333e-43
AT4G35800	-0.255844568042928	1.28935717619929	1.54520735576505	4.70094662951946e-45	7.33330160283336	8.87850341685142	1.54522832370692	0	1.54520735576505	4.70094662951946e-45	1.02605995100311e-41
AT1G29910	-0.0410929184258452	-1.02305980619503	-0.982421386654677	7.47371456357849e-43	-2.41589937129584	-3.39786620244093	-0.982162781110502	2.29901089543176e-95	-0.982421386654677	7.47371456357849e-43	1.46813648886936e-39
AT1G28350	-0.571186464447207	1.66127276106377	2.23233614987851	1.94225203898878e-42	1.88867208661773	4.12113137544446	2.23259272156664	1.06223694917709e-159	2.23233614987851	1.94225203898878e-42	3.4685090048996e-39
AT4G38550	-0.601176473914285	1.03215142785347	1.632777631126	1.4923399279216e-40	0.577437700701286	2.21076563622139	1.63334424144043	1.08358051855257e-75	1.632777631126	1.4923399279216e-40	2.44296046200767e-37
AT1G60850	-1.31063264973079	1.45252104984775	2.76252127311436	5.63458552223618e-40	1.03492857177379	3.79808233880185	2.76337315808867	3.33187788789609e-103	2.76252127311436	5.63458552223618e-40	8.51429215375443e-37
AT1G74470	0.0833763146167427	-0.764442003959507	-0.848086374359861	2.95557446385719e-39	-0.142650827296451	-0.99046909985382	-0.847887289959763	1.1196624129501e-127	-0.848086374359861	2.95557446385719e-39	4.14709319771504e-36
AT2G47400	-0.0719481438264565	-0.981271383368355	-0.909720646398578	6.08615642379902e-39	0.899684520685783	-0.00963867492446079	-0.909501588227982	7.55810712681405e-108	-0.909720646398578	6.08615642379902e-39	7.9704304526072e-36
AT1G55490	-0.364356617708526	-1.15994924382952	-0.795981925161376	2.27690979463539e-37	0.540216715678158	-0.255375878264776	-0.795706649041018	3.65002365726273e-87	-0.795981925161376	2.27690979463539e-37	2.79547600036361e-34
AT2G17220	0.488262931924448	3.19501790991474	2.70523773383342	1.07225824188478e-37	-0.982144362233053	1.72461059594779	2.70912516118888	8.36065764367146e-37	2.70912516118888	8.36065764367146e-37	9.66098580895778e-34
AT1G75960	-3.14401218870221	1.09113974449298	4.23504086578382	2.51855211959199e-36	2.54793642095691	6.78308841316215	4.2349774991753	3.95847852066158e-304	4.23504086578382	2.51855211959199e-36	2.74857987984806e-33
AT1G42970	-0.20747191836757	-0.940900345026767	-0.733809468864052	3.08434125187212e-36	-0.0169308250597355	-0.750359215751351	-0.733512150482848	1.12035614219158e-106	-0.733809468864052	3.08434125187212e-36	3.18888418693558e-33
AT1G12350	0.363484929357419	3.72379491633724	3.3592373386261	1.26855417412544e-35	0.816249240711578	4.17655928654763	3.36118295477729	9.18336613236647e-134	3.3592373386261	1.26855417412544e-35	1.18664181888191e-32
AT5G42650	0.491143290485407	1.58471049317316	1.09315888673937	1.22638004963502e-35	0.825463221199181	1.91903044942742	1.09368222264149	4.04375254496511e-85	1.09315888673937	1.22638004963502e-35	1.18664181888191e-32
AT4G01050	0.269245119977964	-0.66783228452776	-0.937816500433704	1.65357094123122e-32	-0.608029453103691	-1.54510683476473	-0.937261756221697	6.77037992428476e-42	-0.937816500433704	1.65357094123122e-32	1.47648852588846e-29
AT5G20630	0.0297373836842339	-0.871745458944189	-0.901874752242771	4.98904522168043e-32	0.230144902117491	-0.671337869470478	-0.901535725959902	3.94989690421101e-132	-0.901874752242771	4.98904522168043e-32	4.26107844933437e-29
AT2G21330	0.0342354799033371	-0.732536733430095	-0.767114074927528	1.34342266199756e-31	0.528167192890891	-0.238604981921578	-0.766855809449556	7.29958411750776e-85	-0.767114074927528	1.34342266199756e-31	1.099591448845e-28
AT5G26742	-0.392453813435405	-1.1957923442543	-0.803997138272749	1.59517300012014e-29	0.208913684478745	-0.594424814733399	-0.803419080092079	4.46873792916152e-54	-0.803997138272749	1.59517300012014e-29	1.2534231365744e-26
AT4G29060	-0.0876246255869916	-0.794189107154394	-0.706823065872451	2.04300348441146e-29	0.543342693766212	-0.163221756715793	-0.706588341333684	2.95091770983234e-66	-0.706823065872451	2.04300348441146e-29	1.54356770952995e-26
AT5G54080	0.516900723754333	3.19520021778316	2.67645316629994	2.32710045007563e-39	-1.524367975015	1.15393144032841	2.68062665615779	6.40990276961537e-29	2.68062665615779	6.40990276961537e-29	4.66356037060461e-26
AT3G53460	-0.797850292928695	-1.54636914011959	-0.749048574988243	7.67809070084384e-29	-0.0604241318623685	-0.808942938727735	-0.748615762795343	3.50941945167177e-68	-0.749048574988243	7.67809070084384e-29	5.38672906169201e-26
