mRNA_log2FC	RPF_log2FC	log2FC_TE_v1	pvalue_v1	control_log2TE	treat_log2TE	log2FC_TE_v2	pvalue_v2	log2FC_TE_final	pvalue_final	pvalue.adjust
AT3G13080	0.387551486994511	-1.82183562969993	-2.2101492511897	1.22650461335422e-143	3.15680171279872	0.947414645576011	-2.20952677652467	1.16775497051453e-297	-2.2101492511897	1.22650461335422e-143	2.36972956346168e-139
AT5G18500	0.235385464865369	-2.40114787517768	-2.63872512898705	1.06734683698579e-94	2.33929267646427	-0.29724062047793	-2.63688886983623	3.26678972796424e-128	-2.63872512898705	1.06734683698579e-94	1.03111041187013e-90
AT1G29560	0.212746204685469	-6.00354834018906	-6.21753894492385	2.29567961146102e-78	10.4548362018156	4.23854264221307	-6.21727753100631	0	-6.21753894492385	2.29567961146102e-78	1.47849419243461e-74
AT4G35800	0.265437504779267	-1.27613497565528	-1.5416215473792	3.0724273656435e-73	8.85624958775411	7.31467720406207	-1.5416112613106	0	-1.5416215473792	3.0724273656435e-73	1.48405922828995e-69
AT4G09010	0.0101358224061543	1.38420064867098	1.37385428739508	4.852083158177e-56	-0.842199656440757	0.531865176174044	1.37445280443174	1.71998610953371e-76	1.37385428739508	4.852083158177e-56	1.87494197398276e-52
AT3G45140	0.359403790519404	-0.7040498626894	-1.06357930002024	2.26197995687529e-49	0.917455332177122	-0.145998260033668	-1.06339295901138	1.62302394432202e-198	-1.06357930002024	2.26197995687529e-49	7.28395245779791e-46
AT1G12350	-0.172505177376874	-3.27372117223484	-3.106835065712	1.45749282907176e-45	4.15496065768578	1.05374488308794	-3.10239876571109	1.55962495667728e-124	-3.106835065712	1.45749282907176e-45	4.02288842149936e-42
AT1G29930	0.270602754074621	-0.556909506134373	-0.827580309453578	1.91808740771882e-44	-1.60618885185763	-2.43370104786475	-0.827548726201017	0	-0.827580309453578	1.91808740771882e-44	4.63242085056691e-41
AT1G79950	0.0140914885357643	-2.27440671421289	-2.29072209608365	5.15444580418099e-44	3.61881764558886	1.33031955072682	-2.28915368528018	3.94513324881721e-87	-2.29072209608365	5.15444580418099e-44	1.10654497091757e-40
AT3G10040	1.93319688626478	3.35494494874729	1.42157244583635	6.45898326725856e-47	-0.710380728745694	0.711367309951541	1.42221466666591	2.50162577546135e-42	1.42221466666591	2.50162577546135e-42	4.39399196433533e-39
