Cluster	group	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
down	down	GO:0009535	chloroplast thylakoid membrane	97/657	367/29066	4.26978455466834e-75	3.29200389164929e-72	2.611310343434e-72	AT1G29920/AT4G24770/AT1G42970/AT4G01050/AT2G33800/AT3G27850/AT5G14740/AT3G56940/AT1G32060/AT5G23060/AT2G20890/AT1G74880/AT5G23040/AT5G47110/AT1G67090/AT2G46820/AT3G21055/AT3G47470/AT2G34430/AT4G27440/AT4G25080/AT1G44575/AT1G68590/AT5G08540/AT2G40300/AT1G55480/AT3G53560/AT1G16880/AT5G20720/AT3G14110/AT5G44650/AT5G14910/AT2G18710/AT4G37925/AT1G67740/AT5G17170/AT1G76450/AT1G36320/AT5G16620/AT4G09010/AT5G54270/AT2G37220/AT3G22840/AT3G26060/AT5G50250/AT2G39730/AT4G28660/AT3G52380/AT4G17600/AT4G01800/AT2G42220/AT5G28750/AT3G63490/AT1G73885/AT4G14870/AT3G17930/AT1G71500/AT3G50820/AT4G37000/AT3G27750/AT4G15510/AT1G03630/AT1G75690/AT3G18890/AT4G13250/AT1G22700/AT2G05620/AT3G54890/AT2G10940/AT4G10340/AT4G02530/AT4G32260/AT3G27690/AT1G20020/AT5G12130/AT5G21920/AT1G56500/AT5G13120/AT1G44446/AT4G13670/AT3G62030/AT5G42080/AT2G21530/AT4G27700/AT5G35170/AT2G17972/AT3G07430/AT3G01480/AT3G52230/AT1G64510/AT5G52440/AT2G45180/AT1G52220/AT2G20260/AT1G64770/AT1G73060/AT4G22240	97
down	down	GO:0009579	thylakoid	67/657	202/29066	3.74684718602542e-59	1.4444095902128e-56	1.14574642898988e-56	AT1G29920/AT4G24770/AT2G21330/AT2G33800/AT3G27850/AT1G32060/AT5G23060/AT5G58250/AT2G35370/AT2G28000/AT1G78630/AT5G49910/AT2G21170/AT1G67090/AT5G58330/AT2G46820/AT3G47470/AT2G34430/AT5G30510/AT5G38430/AT1G44575/AT1G68590/AT5G17710/AT2G40300/AT3G63190/AT1G55480/AT5G38420/AT5G20720/AT5G44650/AT5G14910/AT3G11630/AT1G76450/AT4G38970/AT5G40950/AT5G61410/AT4G09010/AT5G54270/AT2G37220/AT1G67280/AT2G37660/AT2G39730/AT4G24280/AT4G28660/AT3G52380/AT3G50820/AT1G56190/AT4G15510/AT1G02560/AT5G09650/AT3G63140/AT3G54890/AT5G59690/AT4G10340/AT4G02530/AT4G32260/AT3G27690/AT1G20020/AT5G13120/AT3G62030/AT5G38410/AT3G01480/AT5G23310/AT1G64510/AT5G52440/AT1G52220/AT2G20260/AT4G22240	67
down	down	GO:0009534	chloroplast thylakoid	66/657	198/29066	1.9418781681173e-58	4.99062689206145e-56	3.95870601991631e-56	AT4G01050/AT2G21330/AT2G33800/AT3G56940/AT5G23060/AT5G46110/AT2G20890/AT5G23040/AT2G46820/AT3G47470/AT2G34430/AT4G27440/AT4G25080/AT2G38540/AT1G44575/AT1G55480/AT5G18660/AT3G14110/AT5G17170/AT5G54190/AT4G33010/AT3G61870/AT1G11860/AT4G09010/AT5G54270/AT2G37220/AT3G27160/AT3G26060/AT5G10160/AT2G42220/AT5G38520/AT1G71500/AT3G50820/AT1G66670/AT1G11750/AT1G03630/AT1G02560/AT1G75690/AT5G24490/AT3G21200/AT3G18890/AT1G08520/AT3G63140/AT2G05620/AT4G20130/AT3G54890/AT4G10340/AT4G02530/AT4G32260/AT2G36250/AT1G20020/AT5G12130/AT1G56500/AT1G79850/AT5G13120/AT4G13670/AT1G49970/AT4G27700/AT5G19940/AT5G35170/AT3G01480/AT5G23310/AT5G52440/AT2G20260/AT1G64770/AT4G22240	66
down	down	GO:0015979	photosynthesis	33/657	112/29066	1.05281653115686e-27	2.02930386380485e-25	1.60970106474247e-25	AT1G29920/AT5G13630/AT3G56940/AT4G18480/AT5G47110/AT1G67090/AT3G21055/AT3G47470/AT2G34430/AT4G27440/AT1G44575/AT2G40300/AT1G55480/AT1G67740/AT4G27600/AT1G76450/AT5G54190/AT5G54270/AT3G22840/AT4G28660/AT4G17600/AT1G11750/AT1G03630/AT1G08520/AT3G54890/AT5G45930/AT4G10340/AT3G27690/AT1G20020/AT5G38410/AT4G01037/AT1G43670/AT2G20260	33
down	down	GO:0015995	chlorophyll biosynthetic process	19/657	41/29066	6.38269803327697e-21	9.84212036731309e-19	7.80704748912405e-19	AT5G13630/AT3G56940/AT4G18480/AT1G58290/AT4G27440/AT4G25080/AT5G18660/AT3G14110/AT2G40490/AT5G54190/AT3G14930/AT5G08280/AT3G03710/AT1G03630/AT3G21200/AT1G08520/AT5G45930/AT2G40400/AT1G44446	19
down	down	GO:0009658	chloroplast organization	31/657	159/29066	2.93915089506649e-20	3.77680890016044e-18	2.99587135093619e-18	AT5G26742/AT3G56940/AT2G28000/AT5G23040/AT2G21170/AT3G63190/AT3G08010/AT5G44650/AT3G18420/AT2G34620/AT5G16620/AT5G64050/AT3G48870/AT4G01800/AT1G08540/AT3G27750/AT3G04340/AT1G11750/AT1G56200/AT4G20130/AT4G38160/AT1G44000/AT4G25910/AT1G35680/AT1G06950/AT4G13670/AT1G49970/AT5G24660/AT1G45230/AT4G27670/AT1G69200	31
down	down	GO:0009735	response to cytokinin	32/657	203/29066	5.4783625162667e-18	6.03402500005947e-16	4.78635883000143e-16	AT5G20630/AT3G25920/AT3G27850/AT1G32060/AT4G18480/AT1G05190/AT2G07698/AT4G01310/AT1G78630/AT5G30510/AT3G14420/AT2G40300/AT1G16880/AT3G22640/AT2G40490/AT5G14910/AT5G40950/AT2G21660/AT3G09260/AT3G63140/AT4G25050/AT3G18780/AT5G45930/AT4G02530/AT4G32260/AT1G20020/AT1G18540/AT3G62030/AT5G58070/AT1G49600/AT2G20260/AT1G73060	32
down	down	GO:0019843	rRNA binding	21/657	74/29066	9.88270803979711e-18	9.52445987335446e-16	7.55507022516068e-16	AT2G33800/AT5G14320/AT2G43030/AT1G74970/AT1G05190/AT1G29070/AT1G75350/AT4G01310/AT4G17560/AT5G54600/AT5G13510/AT1G12800/AT1G06190/AT5G47190/AT3G63490/AT3G06430/AT3G63140/AT5G07090/AT1G35680/AT1G79850/AT3G54210	21
down	down	GO:0003735	structural constituent of ribosome	40/657	362/29066	1.50537760957744e-16	1.28960681887134e-14	1.02295250428595e-14	AT2G33800/AT3G25920/AT5G14320/AT3G27850/AT2G43030/AT1G74970/AT1G05190/AT2G33450/AT2G38140/AT1G29070/AT1G75350/AT4G01310/AT4G17560/AT1G78630/AT4G34620/AT5G30510/AT1G74050/AT3G13120/AT1G68590/AT2G47610/AT5G16130/AT5G40950/AT5G54600/AT5G13510/AT2G36620/AT3G27160/AT5G47190/AT3G63490/AT5G24490/AT2G24090/AT5G15260/AT5G07090/AT1G18540/AT1G35680/AT1G79850/AT5G23900/AT3G54210/AT1G64510/AT1G27400/AT3G49910	40
down	down	GO:0009409	response to cold	37/657	329/29066	1.19728632324747e-15	9.23107755223801e-14	7.32235109270296e-14	AT4G24770/AT1G55490/AT1G42970/AT5G20630/AT2G33800/AT1G32060/AT3G11170/AT1G67090/AT3G47470/AT1G20620/AT2G40300/AT5G06290/AT1G16880/AT5G20720/AT3G11630/AT5G61410/AT2G21660/AT2G37220/AT1G67280/AT3G22840/AT3G23700/AT2G39730/AT4G24280/AT5G62700/AT1G56190/AT3G48360/AT3G54890/AT3G27690/AT1G35680/AT5G37770/AT3G14210/AT5G58070/AT3G16450/AT1G78080/AT4G21150/AT5G52440/AT3G49910	37
down	down	GO:0009523	photosystem II	13/657	29/29066	1.74109176557353e-14	1.22034704659745e-12	9.68013699328443e-13	AT5G47110/AT3G21055/AT2G34430/AT1G44575/AT1G55480/AT1G67740/AT5G54270/AT3G22840/AT4G17600/AT1G71500/AT3G54890/AT4G02530/AT3G27690	13
