Gene ID	Chromosome	Peak_start	Peak_end	annotation
AT1G01080	Chr1	45542	45546	3' UTR
AT1G01090	Chr1	47729	47773	Exon (AT1G01090.1/AT1G01090, exon 3 of 3)
AT1G01090	Chr1	47812	47840	Exon (AT1G01090.1/AT1G01090, exon 3 of 3)
AT1G01090	Chr1	48650	48679	Exon (AT1G01090.1/AT1G01090, exon 2 of 3)
AT1G01090	Chr1	48754	48762	Exon (AT1G01090.1/AT1G01090, exon 2 of 3)
AT1G01090	Chr1	48956	48974	Promoter
AT1G01090	Chr1	49022	49059	Promoter
AT1G01100	Chr1	50322	50335	Exon (AT1G01100.2/AT1G01100, exon 4 of 4)
AT1G01100	Chr1	50423	50517	Exon (AT1G01100.2/AT1G01100, exon 3 of 4)
AT1G01120	Chr1	58605	58632	Exon (AT1G01120.1/AT1G01120, exon 1 of 1)
AT1G01160	Chr1	73688	73705	Exon (AT1G01160.1/AT1G01160, exon 4 of 5)
AT1G01170	Chr1	74148	74171	Exon (AT1G01170.2/AT1G01170, exon 3 of 3)
AT1G01170	Chr1	74212	74228	Exon (AT1G01170.2/AT1G01170, exon 3 of 3)
AT1G01270	Chr1	111936	111941	Promoter
AT1G01300	Chr1	117125	117147	Promoter
AT1G01320	Chr1	122469	122475	Exon (AT1G01320.3/AT1G01320, exon 24 of 25)
AT1G01320	Chr1	126098	126125	Exon (AT1G01320.3/AT1G01320, exon 12 of 25)
AT1G01320	Chr1	126531	126572	Exon (AT1G01320.3/AT1G01320, exon 12 of 25)
AT1G01320	Chr1	128301	128313	Exon (AT1G01320.3/AT1G01320, exon 6 of 25)
AT1G01320	Chr1	128479	128489	Exon (AT1G01320.3/AT1G01320, exon 5 of 25)
AT1G01320	Chr1	128532	128546	Exon (AT1G01320.3/AT1G01320, exon 5 of 25)
AT1G01400	Chr1	151435	151448	Exon (AT1G01400.1/AT1G01400, exon 3 of 4)
AT1G01430	Chr1	158320	158369	Promoter
AT1G01453	Chr1	167035	167049	Exon (AT1G01453.1/AT1G01453, exon 1 of 2)
AT1G01470	Chr1	172378	172445	Exon (AT1G01470.1/AT1G01470, exon 2 of 2)
AT1G01470	Chr1	172521	172529	Promoter
AT1G01510	Chr1	189646	189655	Exon (AT1G01510.1/AT1G01510, exon 6 of 7)
AT1G01550	Chr1	200567	200649	Exon (AT1G01550.1/AT1G01550, exon 3 of 3)
