Gene ID	Chromosome	Peak_start	Peak_end	annotation
AT1G01050	Chr1	31693	31696	Exon (AT1G01050.1/AT1G01050, exon 7 of 9)
AT1G01080	Chr1	46564	46689	Promoter
AT1G01090	Chr1	48206	48212	Exon (AT1G01090.1/AT1G01090, exon 2 of 3)
AT1G01090	Chr1	48755	48770	Exon (AT1G01090.1/AT1G01090, exon 2 of 3)
AT1G01090	Chr1	48956	49009	Promoter
AT1G01100	Chr1	50425	50506	Exon (AT1G01100.2/AT1G01100, exon 3 of 4)
AT1G01150	Chr1	70962	70968	Exon (AT1G01150.1/AT1G01150, exon 3 of 4)
AT1G01150	Chr1	71041	71044	Exon (AT1G01150.1/AT1G01150, exon 2 of 4)
AT1G01220	Chr1	91887	91905	5' UTR
AT1G01300	Chr1	117122	117131	Promoter
AT1G01320	Chr1	126568	126578	Exon (AT1G01320.3/AT1G01320, exon 12 of 25)
AT1G01430	Chr1	157322	157359	Exon (AT1G01430.1/AT1G01430, exon 3 of 3)
AT1G01453	Chr1	167036	167050	Exon (AT1G01453.1/AT1G01453, exon 1 of 2)
AT1G01470	Chr1	172376	172444	Exon (AT1G01470.1/AT1G01470, exon 2 of 2)
AT1G01470	Chr1	172459	172507	Promoter
AT1G01470	Chr1	172538	172545	Promoter
AT1G01470	Chr1	172624	172636	Promoter
AT1G01550	Chr1	200565	200603	Exon (AT1G01550.1/AT1G01550, exon 3 of 3)
AT1G01550	Chr1	200607	200652	Exon (AT1G01550.1/AT1G01550, exon 3 of 3)
AT1G01550	Chr1	200892	200925	Exon (AT1G01550.1/AT1G01550, exon 3 of 3)
AT1G01590	Chr1	214400	214407	Promoter
AT1G01590	Chr1	214480	214484	Promoter
AT1G01620	Chr1	226537	226589	Exon (AT1G01620.2/AT1G01620, exon 3 of 5)
AT1G01620	Chr1	226857	226880	Exon (AT1G01620.2/AT1G01620, exon 2 of 5)
AT1G01650	Chr1	233098	233110	3' UTR
AT1G01870	Chr1	306440	306456	Promoter
AT1G01880	Chr1	308192	308208	Exon (AT1G01880.3/AT1G01880, exon 5 of 9)
AT1G01880	Chr1	309273	309292	Promoter
AT1G01940	Chr1	323219	323236	Promoter
AT1G02065	Chr1	366196	366209	Exon (AT1G02065.2/AT1G02065, exon 1 of 2)
AT1G02130	Chr1	401170	401185	Exon (AT1G02130.1/AT1G02130, exon 5 of 8)
AT1G02140	Chr1	403462	403496	3' UTR
AT1G02205	Chr1	421623	421630	Exon (AT1G02205.2/AT1G02205, exon 8 of 10)
AT1G02475	Chr1	515172	515219	Promoter
AT1G02500	Chr1	519447	519492	Exon (AT1G02500.1/AT1G02500, exon 2 of 2)
AT1G02500	Chr1	520175	520181	Exon (AT1G02500.1/AT1G02500, exon 2 of 2)
AT1G02560	Chr1	538082	538110	Promoter
AT1G02600	Chr1	552639	552672	Promoter
AT1G02590	Chr1	552695	552711	Promoter
AT1G02670	Chr1	578444	578451	Exon (AT1G02670.4/AT1G02670, exon 6 of 10)
AT1G02670	Chr1	578535	578541	Exon (AT1G02670.4/AT1G02670, exon 7 of 10)
AT1G02720	Chr1	592737	592748	Exon (AT1G02720.1/AT1G02720, exon 1 of 2)
AT1G02760	Chr1	604444	604476	Promoter
AT1G02780	Chr1	608614	608634	Exon (AT1G02780.1/AT1G02780, exon 3 of 5)
AT1G02780	Chr1	608838	608845	Exon (AT1G02780.1/AT1G02780, exon 2 of 5)
AT1G02780	Chr1	608866	608891	Exon (AT1G02780.1/AT1G02780, exon 2 of 5)
AT1G02780	Chr1	609284	609304	Promoter
AT1G02920	Chr1	659105	659179	Exon (AT1G02920.1/AT1G02920, exon 3 of 3)
AT1G02930	Chr1	661467	661486	Exon (AT1G02930.1/AT1G02930, exon 3 of 3)
AT1G02930	Chr1	661926	661944	Exon (AT1G02930.1/AT1G02930, exon 2 of 3)
AT1G02930	Chr1	662132	662151	Promoter
AT1G03020	Chr1	698182	698194	3' UTR
AT1G03070	Chr1	729852	729866	5' UTR
AT1G03130	Chr1	753609	753635	Exon (AT1G03130.1/AT1G03130, exon 1 of 1)
AT1G03130	Chr1	753657	753692	Exon (AT1G03130.1/AT1G03130, exon 1 of 1)
AT1G03130	Chr1	753707	753749	Exon (AT1G03130.1/AT1G03130, exon 1 of 1)
AT1G03130	Chr1	753825	753840	Promoter
AT1G03130	Chr1	753927	753947	Promoter
AT1G03130	Chr1	754007	754066	Promoter
AT1G03160	Chr1	761375	761387	Promoter
AT1G03220	Chr1	787182	787237	Promoter
AT1G03220	Chr1	787551	787569	Exon (AT1G03220.1/AT1G03220, exon 1 of 1)
AT1G03230	Chr1	790984	791006	Exon (AT1G03230.1/AT1G03230, exon 1 of 1)
AT1G03230	Chr1	791314	791341	Exon (AT1G03230.1/AT1G03230, exon 1 of 1)
AT1G03330	Chr1	819008	819053	Exon (AT1G03330.1/AT1G03330, exon 2 of 3)
AT1G03430	Chr1	848871	848879	Exon (AT1G03430.1/AT1G03430, exon 4 of 6)
AT1G03430	Chr1	848998	849001	Exon (AT1G03430.1/AT1G03430, exon 5 of 6)
AT1G03475	Chr1	870651	870652	Exon (AT1G03475.1/AT1G03475, exon 1 of 8)
AT1G03475	Chr1	870804	870833	Promoter
AT1G04193	Chr1	875294	875316	Promoter
AT1G03506	Chr1	875575	875587	Promoter
AT1G03560	Chr1	892189	892201	Promoter
AT1G03570	Chr1	892525	892525	Promoter
AT1G03570	Chr1	892528	892546	Promoter
AT1G03600	Chr1	898994	899079	Exon (AT1G03600.1/AT1G03600, exon 1 of 1)
AT1G03600	Chr1	899258	899258	Exon (AT1G03600.1/AT1G03600, exon 1 of 1)
AT1G03600	Chr1	899361	899423	Exon (AT1G03600.1/AT1G03600, exon 1 of 1)
AT1G03630	Chr1	908701	908707	Exon (AT1G03630.1/AT1G03630, exon 4 of 5)
AT1G03680	Chr1	917095	917142	Exon (AT1G03680.1/AT1G03680, exon 2 of 2)
AT1G03680	Chr1	917833	917833	Promoter
AT1G03750	Chr1	939395	939409	Exon (AT1G03750.1/AT1G03750, exon 3 of 7)
AT1G03790	Chr1	954697	954711	Promoter
AT1G03860	Chr1	980011	980018	Exon (AT1G03860.1/AT1G03860, exon 5 of 6)
AT1G04223	Chr1	1009095	1009119	Promoter
AT1G03940	Chr1	1009257	1009298	3' UTR
AT1G03940	Chr1	1009311	1009315	3' UTR
AT1G03940	Chr1	1010816	1010825	Promoter
AT1G03990	Chr1	1026935	1026949	Exon (AT1G03990.1/AT1G03990, exon 3 of 3)
AT1G04030	Chr1	1042320	1042334	Intron (AT1G04030.1/AT1G04030, intron 4 of 4)
AT1G04040	Chr1	1042954	1042958	Exon (AT1G04040.1/AT1G04040, exon 2 of 3)
AT1G04100	Chr1	1060857	1060867	Exon (AT1G04100.1/AT1G04100, exon 3 of 4)
AT1G04150	Chr1	1082095	1082109	Exon (AT1G04150.1/AT1G04150, exon 1 of 1)
AT1G04160	Chr1	1096201	1096216	3' UTR
AT1G04170	Chr1	1099519	1099541	Exon (AT1G04170.1/AT1G04170, exon 9 of 9)
